Epoch,chi_Mean_0.25,chi_Mean_1.0,chi_Mean_4.0
1,-38.333300,-35.745313,-80.254581
2,-24.797540,-24.310263,-64.185406
3,-22.310433,-21.926276,-57.914504
4,-21.680821,-21.274548,-55.169366
5,-21.369473,-20.960791,-53.828055
6,-21.112831,-20.723198,-53.169624
7,-20.881064,-20.502071,-52.732069
8,-20.668952,-20.300028,-52.385941
9,-20.467757,-20.126239,-52.191451
10,-20.272669,-19.950055,-51.947730
11,-20.100279,-19.788386,-51.796139
12,-19.925727,-19.639844,-51.708620
13,-19.777275,-19.509715,-51.546906
14,-19.632486,-19.396199,-51.347260
15,-19.496671,-19.288589,-51.240134
16,-19.378269,-19.189888,-51.213012
17,-19.262134,-19.097232,-51.005561
18,-19.153476,-19.001640,-50.933739
19,-19.067915,-18.917372,-50.881387
20,-18.983021,-18.838549,-50.735476
21,-18.894472,-18.770110,-50.670541
22,-18.813639,-18.705286,-50.624386
23,-18.734133,-18.649097,-50.518540
24,-18.673710,-18.583910,-50.434534
25,-18.601729,-18.540002,-50.347092
26,-18.539629,-18.493517,-50.315360
27,-18.475170,-18.429086,-50.189476
28,-18.418205,-18.377567,-50.205021
29,-18.362521,-18.336379,-50.173779
30,-18.313898,-18.302468,-50.163994
31,-18.258805,-18.263873,-50.105208
32,-18.221631,-18.238667,-50.036346
33,-18.185438,-18.195651,-49.984442
34,-18.149291,-18.166418,-49.890572
35,-18.111913,-18.135382,-49.881329
36,-18.079341,-18.127812,-49.851635
37,-18.046998,-18.089117,-49.784368
38,-18.019828,-18.055948,-49.766605
39,-17.991379,-18.036976,-49.677147
40,-17.962174,-18.005176,-49.696294
41,-17.936720,-17.977203,-49.684660
42,-17.916321,-17.957718,-49.721420
43,-17.894060,-17.953931,-49.680603
44,-17.875550,-17.940607,-49.636539
45,-17.861595,-17.919800,-49.626077
46,-17.835218,-17.903847,-49.528065
47,-17.816124,-17.870896,-49.503391
48,-17.806183,-17.861442,-49.398524
49,-17.791358,-17.845558,-49.398488
50,-17.776419,-17.820838,-49.366704
51,-17.759397,-17.817026,-49.334649
52,-17.752870,-17.805867,-49.270795
53,-17.732942,-17.788123,-49.203265
54,-17.730173,-17.779406,-49.163010
55,-17.722930,-17.777607,-49.135295
56,-17.700172,-17.759069,-49.042822
57,-17.691101,-17.758711,-48.943722
58,-17.681999,-17.741833,-48.895007
59,-17.680603,-17.736756,-48.795100
60,-17.665650,-17.718441,-48.792515
61,-17.656925,-17.710645,-48.718368
62,-17.650569,-17.701092,-48.708339
63,-17.642341,-17.698540,-48.746759
64,-17.630134,-17.690789,-48.669125
65,-17.626432,-17.681397,-48.557675
66,-17.615777,-17.677864,-48.460582
67,-17.610953,-17.672446,-48.456226
68,-17.606787,-17.661328,-48.357841
69,-17.599655,-17.652841,-48.307846
70,-17.587173,-17.646659,-48.235011
71,-17.583502,-17.648221,-48.246241
72,-17.580172,-17.645086,-48.175151
73,-17.574138,-17.622469,-48.059043
74,-17.575792,-17.615651,-48.013188
75,-17.564236,-17.607446,-47.996234
76,-17.557488,-17.605871,-47.984488
77,-17.555783,-17.603069,-47.846204
78,-17.547716,-17.593596,-47.839422
79,-17.543723,-17.586592,-47.734768
80,-17.540708,-17.584596,-47.696405
81,-17.538982,-17.583844,-47.683598
82,-17.533891,-17.570700,-47.651087
83,-17.530848,-17.565037,-47.665018
84,-17.524055,-17.561668,-47.678094
85,-17.517060,-17.560903,-47.597434
86,-17.515806,-17.559991,-47.637024
87,-17.508219,-17.551109,-47.630281
88,-17.503395,-17.546457,-47.576518
89,-17.506359,-17.540632,-47.505657
90,-17.502281,-17.542215,-47.458462
91,-17.502122,-17.535962,-47.453699
92,-17.496980,-17.521963,-47.445303
93,-17.493991,-17.518857,-47.403450
94,-17.490230,-17.516433,-47.400034
95,-17.485691,-17.513850,-47.335484
96,-17.483997,-17.514734,-47.348128
97,-17.480679,-17.502755,-47.283632
98,-17.482617,-17.492625,-47.267146
99,-17.476621,-17.503443,-47.243511
100,-17.474845,-17.485988,-47.231598
101,-17.475510,-17.487420,-47.178153
102,-17.474624,-17.478494,-47.191870
103,-17.472376,-17.477503,-47.129590
104,-17.468850,-17.468999,-47.134150
105,-17.464687,-17.468132,-47.120118
106,-17.462959,-17.467903,-47.057888
107,-17.463380,-17.468418,-47.047214
108,-17.459720,-17.461726,-47.009550
109,-17.460365,-17.459435,-47.006147
110,-17.456224,-17.452764,-46.977081
111,-17.455368,-17.448204,-46.931786
112,-17.452867,-17.449157,-46.877780
113,-17.450834,-17.446702,-46.827298
114,-17.447817,-17.442689,-46.840310
115,-17.447050,-17.443343,-46.848360
116,-17.445699,-17.444546,-46.808757
117,-17.443634,-17.440383,-46.839451
118,-17.442055,-17.444985,-46.783564
119,-17.439722,-17.430498,-46.782280
120,-17.438182,-17.435529,-46.738974
121,-17.438559,-17.423348,-46.663249
122,-17.438116,-17.422245,-46.710206
123,-17.437472,-17.427423,-46.693394
124,-17.434737,-17.422079,-46.604432
125,-17.433277,-17.417039,-46.586825
126,-17.430289,-17.411244,-46.525327
127,-17.430106,-17.411374,-46.540700
128,-17.428409,-17.411722,-46.536480
129,-17.427570,-17.402114,-46.477220
130,-17.426407,-17.403907,-46.474038
131,-17.426200,-17.402311,-46.418231
132,-17.424748,-17.397298,-46.437147
133,-17.423801,-17.402891,-46.369508
134,-17.422167,-17.396811,-46.324526
135,-17.420720,-17.394349,-46.286582
136,-17.419741,-17.396708,-46.284171
137,-17.419121,-17.399653,-46.287810
138,-17.418570,-17.396448,-46.246955
139,-17.417668,-17.394850,-46.207726
140,-17.416743,-17.393146,-46.214347
141,-17.415916,-17.396299,-46.175342
142,-17.414908,-17.386134,-46.144903
143,-17.414196,-17.389476,-46.125668
144,-17.413895,-17.388408,-46.095579
145,-17.413541,-17.378267,-46.037510
146,-17.412354,-17.385348,-46.045141
147,-17.411308,-17.382221,-46.047783
148,-17.411305,-17.380182,-45.990693
149,-17.410687,-17.381566,-45.962774
150,-17.410134,-17.377767,-45.990765
151,-17.410076,-17.376608,-45.959648
152,-17.409090,-17.380366,-45.930256
153,-17.408381,-17.378934,-45.918411
154,-17.407814,-17.379322,-45.915069
155,-17.408198,-17.381555,-45.829785
156,-17.407581,-17.371362,-45.800267
157,-17.406997,-17.376226,-45.786632
158,-17.406514,-17.368946,-45.774500
159,-17.406978,-17.370209,-45.767439
160,-17.406163,-17.367870,-45.734534
161,-17.405534,-17.375204,-45.664180
162,-17.404816,-17.367973,-45.620883
163,-17.404460,-17.364607,-45.636773
164,-17.404729,-17.370540,-45.666020
165,-17.405593,-17.368315,-45.600315
166,-17.404591,-17.363659,-45.569523
167,-17.404621,-17.360518,-45.563006
168,-17.402508,-17.359899,-45.497337
169,-17.403360,-17.360983,-45.516296
170,-17.403833,-17.367598,-45.430585
171,-17.404024,-17.363817,-45.457161
172,-17.402759,-17.369242,-45.405216
173,-17.403451,-17.363699,-45.379166
174,-17.403464,-17.367837,-45.342208
175,-17.404016,-17.366079,-45.322007
176,-17.404343,-17.363139,-45.277650
177,-17.405347,-17.356476,-45.245413
178,-17.404144,-17.354861,-45.241990
179,-17.403096,-17.360154,-45.237381
180,-17.402659,-17.359638,-45.203037
181,-17.402726,-17.360069,-45.117739
182,-17.401519,-17.362565,-45.052357
183,-17.402877,-17.359957,-45.054802
184,-17.403127,-17.365752,-45.015112
185,-17.403787,-17.364728,-44.981622
186,-17.404521,-17.362046,-44.976805
187,-17.403571,-17.357008,-44.954740
188,-17.403329,-17.361963,-44.914935
189,-17.404278,-17.356357,-44.866655
190,-17.402606,-17.362767,-44.806307
191,-17.403564,-17.361108,-44.819591
192,-17.403191,-17.359761,-44.743546
193,-17.404341,-17.356463,-44.734668
194,-17.405280,-17.353402,-44.690827
195,-17.404556,-17.355562,-44.641373
196,-17.407040,-17.362809,-44.593046
197,-17.404053,-17.354944,-44.567203
198,-17.404297,-17.350282,-44.540270
199,-17.403562,-17.349977,-44.499993
200,-17.403927,-17.351909,-44.462786
201,-17.406180,-17.355030,-44.392796
202,-17.407109,-17.352290,-44.386118
203,-17.406280,-17.352406,-44.395563
204,-17.405920,-17.349619,-44.360363
205,-17.405772,-17.352387,-44.345529
206,-17.409481,-17.353425,-44.330095
207,-17.409933,-17.355888,-44.290751
208,-17.410424,-17.355924,-44.261247
209,-17.407934,-17.352019,-44.181191
210,-17.409449,-17.350538,-44.184595
211,-17.410115,-17.350188,-44.210254
212,-17.414988,-17.350022,-44.170996
213,-17.412744,-17.350876,-44.086081
214,-17.409179,-17.352835,-44.048616
215,-17.413814,-17.356917,-44.060644
216,-17.415040,-17.356203,-43.980935
217,-17.411690,-17.352848,-43.916615
218,-17.413525,-17.359627,-43.888285
219,-17.419307,-17.352714,-43.886461
220,-17.417121,-17.349518,-43.854955
221,-17.416814,-17.359157,-43.842550
222,-17.416113,-17.355262,-43.781321
223,-17.416250,-17.353189,-43.746590
224,-17.416579,-17.350695,-43.684427
225,-17.414832,-17.352391,-43.688668
226,-17.420950,-17.355942,-43.674923
227,-17.420701,-17.353045,-43.548679
228,-17.417459,-17.352661,-43.511027
229,-17.421788,-17.357530,-43.412002
230,-17.416626,-17.349623,-43.443536
231,-17.420524,-17.343401,-43.399951
232,-17.422839,-17.349865,-43.352459
233,-17.422255,-17.348719,-43.332827
234,-17.425988,-17.351803,-43.290377
235,-17.425040,-17.357527,-43.272228
236,-17.424740,-17.355850,-43.243127
237,-17.423748,-17.356550,-43.232541
238,-17.426921,-17.359252,-43.195812
239,-17.428598,-17.356050,-43.164720
240,-17.425081,-17.352518,-43.103188
241,-17.428792,-17.355046,-43.124450
242,-17.432942,-17.361308,-43.059043
243,-17.432000,-17.360149,-42.995797
244,-17.435901,-17.364923,-42.977689
245,-17.436808,-17.367414,-43.022541
246,-17.432265,-17.367919,-42.989346
247,-17.433234,-17.362564,-42.917068
248,-17.434454,-17.363159,-42.898513
249,-17.441839,-17.362602,-42.916027
250,-17.438712,-17.360886,-42.840695
251,-17.438909,-17.363535,-42.780354
252,-17.437913,-17.357408,-42.758525
253,-17.443613,-17.360613,-42.689313
254,-17.447489,-17.356185,-42.657142
255,-17.438971,-17.354549,-42.631079
256,-17.443665,-17.352578,-42.570631
257,-17.440691,-17.358665,-42.523054
258,-17.444009,-17.360414,-42.490840
259,-17.445660,-17.359802,-42.529313
260,-17.445470,-17.368150,-42.478227
261,-17.446555,-17.365282,-42.472808
262,-17.443301,-17.364291,-42.412972
263,-17.442592,-17.368946,-42.375266
264,-17.447273,-17.361660,-42.334091
265,-17.444937,-17.363647,-42.277382
266,-17.442782,-17.354449,-42.263901
267,-17.449292,-17.356903,-42.205217
268,-17.447198,-17.353641,-42.227488
269,-17.452956,-17.357820,-42.181460
270,-17.455570,-17.357508,-42.155135
