Epoch,chi_Mean_0.25,chi_Mean_1.0,chi_Mean_4.0
1,-30.717914,-27.436725,-61.006851
2,-19.415731,-18.783838,-51.798793
3,-17.427041,-17.137248,-47.411807
4,-17.061641,-16.812412,-44.895456
5,-16.963294,-16.725313,-43.215044
6,-16.899788,-16.669696,-42.040506
7,-16.833156,-16.615001,-41.072718
8,-16.766486,-16.562527,-40.249711
9,-16.703308,-16.508924,-39.630780
10,-16.640860,-16.457218,-39.073682
11,-16.582237,-16.409854,-38.553660
12,-16.524898,-16.364862,-38.087668
13,-16.472563,-16.322716,-37.696491
14,-16.424173,-16.282610,-37.348528
15,-16.374997,-16.245639,-37.047914
16,-16.328431,-16.209778,-36.817268
17,-16.285328,-16.175108,-36.541912
18,-16.247461,-16.144342,-36.341079
19,-16.207100,-16.112114,-36.118133
20,-16.169803,-16.081500,-35.958569
21,-16.139968,-16.056045,-35.780272
22,-16.108607,-16.027619,-35.589600
23,-16.079788,-16.002448,-35.474452
24,-16.053565,-15.979272,-35.331421
25,-16.028522,-15.959045,-35.198616
26,-16.007570,-15.944100,-35.099627
27,-15.983531,-15.923898,-34.951589
28,-15.966195,-15.907306,-34.882916
29,-15.949086,-15.888074,-34.779025
30,-15.928800,-15.875055,-34.703209
31,-15.911257,-15.862304,-34.590023
32,-15.896299,-15.849250,-34.517018
33,-15.881168,-15.839184,-34.414639
34,-15.870474,-15.824945,-34.371176
35,-15.853970,-15.816516,-34.275898
36,-15.839007,-15.805358,-34.179984
37,-15.828127,-15.797737,-34.149953
38,-15.817821,-15.783778,-34.052353
39,-15.806602,-15.779726,-33.987092
40,-15.796162,-15.768026,-33.925204
41,-15.787531,-15.761435,-33.841122
42,-15.783007,-15.754385,-33.772497
43,-15.772691,-15.748709,-33.697162
44,-15.762306,-15.740609,-33.627057
45,-15.756841,-15.734768,-33.582837
46,-15.752128,-15.727123,-33.478765
47,-15.747938,-15.722836,-33.457096
48,-15.741907,-15.719138,-33.391208
49,-15.735752,-15.714056,-33.287796
50,-15.725701,-15.708546,-33.254745
51,-15.724120,-15.701752,-33.220580
52,-15.721519,-15.697498,-33.160472
53,-15.714462,-15.694450,-33.125293
54,-15.712520,-15.692954,-33.064761
55,-15.711751,-15.693476,-33.014530
56,-15.711223,-15.691422,-32.937053
57,-15.705337,-15.679876,-32.871707
58,-15.699232,-15.680067,-32.800889
59,-15.696172,-15.676996,-32.706093
60,-15.695728,-15.677864,-32.668804
61,-15.693253,-15.678833,-32.629606
62,-15.694657,-15.678101,-32.610204
63,-15.693851,-15.674242,-32.471587
64,-15.691971,-15.672546,-32.457269
65,-15.690351,-15.672758,-32.401344
66,-15.691685,-15.669458,-32.376734
67,-15.685308,-15.665455,-32.354954
68,-15.683513,-15.669217,-32.327049
69,-15.680506,-15.664315,-32.266340
70,-15.678624,-15.662218,-32.200128
71,-15.678774,-15.666325,-32.135113
72,-15.678035,-15.666460,-32.090921
73,-15.672689,-15.661921,-32.060568
74,-15.678162,-15.661812,-32.027296
75,-15.673519,-15.661234,-31.932860
76,-15.673656,-15.661056,-31.890866
77,-15.672762,-15.661376,-31.848755
78,-15.676458,-15.659226,-31.826768
79,-15.673293,-15.654400,-31.760325
80,-15.676425,-15.655489,-31.739710
81,-15.673111,-15.656716,-31.730926
82,-15.673775,-15.658276,-31.681875
83,-15.672001,-15.654197,-31.669178
84,-15.668996,-15.653601,-31.613447
85,-15.670937,-15.652070,-31.594001
86,-15.671213,-15.653989,-31.576490
87,-15.670042,-15.652792,-31.540045
88,-15.672744,-15.655193,-31.502343
89,-15.674471,-15.659259,-31.470233
90,-15.678114,-15.656133,-31.410949
91,-15.680447,-15.659634,-31.376455
92,-15.679595,-15.660950,-31.406342
93,-15.682365,-15.658233,-31.345532
94,-15.682063,-15.661977,-31.272718
95,-15.683250,-15.658716,-31.235580
96,-15.684125,-15.662265,-31.185113
97,-15.688333,-15.661483,-31.180886
98,-15.685646,-15.658462,-31.105463
99,-15.684649,-15.659837,-31.099993
100,-15.686045,-15.659406,-31.047623
101,-15.680206,-15.660134,-30.999265
102,-15.679363,-15.659649,-30.979184
103,-15.680457,-15.660730,-30.948911
104,-15.680604,-15.657962,-30.899894
105,-15.680913,-15.661199,-30.810282
106,-15.682648,-15.662595,-30.794621
107,-15.681826,-15.661212,-30.779333
108,-15.681281,-15.660539,-30.735050
109,-15.685309,-15.660441,-30.693601
110,-15.683812,-15.665905,-30.668562
111,-15.683592,-15.664188,-30.687981
112,-15.686668,-15.667549,-30.648333
113,-15.685634,-15.664184,-30.584252
114,-15.689485,-15.662802,-30.548780
115,-15.689569,-15.663153,-30.465785
116,-15.693462,-15.661223,-30.417546
117,-15.695369,-15.663014,-30.402345
118,-15.701021,-15.659748,-30.383990
119,-15.700838,-15.664730,-30.336484
120,-15.707121,-15.666893,-30.311431
121,-15.707261,-15.669552,-30.286092
122,-15.707317,-15.671666,-30.253866
123,-15.708361,-15.673500,-30.181487
124,-15.702422,-15.672087,-30.180436
125,-15.701795,-15.670246,-30.138524
126,-15.706417,-15.672079,-30.105963
127,-15.709894,-15.675095,-30.070297
128,-15.709738,-15.677077,-30.002982
129,-15.704047,-15.678060,-29.985595
130,-15.709561,-15.680945,-29.939863
131,-15.708780,-15.683028,-29.911365
132,-15.710057,-15.684054,-29.855721
133,-15.716160,-15.682152,-29.804813
134,-15.719127,-15.683916,-29.814838
135,-15.719862,-15.681936,-29.812157
136,-15.724543,-15.685281,-29.795560
137,-15.723451,-15.686831,-29.707022
138,-15.727436,-15.685977,-29.657933
139,-15.726412,-15.686113,-29.633533
140,-15.727436,-15.688476,-29.569225
141,-15.729370,-15.691397,-29.556215
142,-15.734792,-15.691925,-29.486008
143,-15.734508,-15.687456,-29.469182
144,-15.738333,-15.688633,-29.448347
145,-15.744062,-15.688843,-29.401855
146,-15.739950,-15.687450,-29.373533
147,-15.740710,-15.692776,-29.328230
148,-15.741636,-15.692443,-29.307576
149,-15.743812,-15.694934,-29.215903
150,-15.745581,-15.694913,-29.166330
151,-15.748968,-15.694750,-29.128874
152,-15.752069,-15.695575,-29.059604
153,-15.750836,-15.694069,-28.994821
154,-15.754740,-15.696788,-28.994700
155,-15.753818,-15.693238,-28.937590
156,-15.755978,-15.697794,-28.876798
157,-15.753639,-15.698969,-28.838367
158,-15.758476,-15.704959,-28.758957
159,-15.755144,-15.703995,-28.682575
160,-15.760630,-15.703125,-28.682052
161,-15.765272,-15.704778,-28.612055
162,-15.764830,-15.706330,-28.501483
163,-15.766199,-15.710934,-28.462398
164,-15.771623,-15.711256,-28.450470
165,-15.768450,-15.712801,-28.384899
166,-15.766923,-15.716399,-28.338947
167,-15.766631,-15.714881,-28.285648
168,-15.771319,-15.717640,-28.264407
169,-15.776288,-15.719682,-28.191701
170,-15.778270,-15.720950,-28.112143
171,-15.777256,-15.718580,-28.076828
172,-15.781462,-15.723313,-28.030860
173,-15.786605,-15.719856,-28.000894
174,-15.787516,-15.726522,-27.939271
175,-15.790302,-15.732379,-27.887109
176,-15.790612,-15.730219,-27.836442
177,-15.792724,-15.731140,-27.825336
178,-15.799187,-15.732914,-27.763407
179,-15.801436,-15.733865,-27.722961
180,-15.801708,-15.736133,-27.645381
181,-15.802333,-15.737485,-27.607441
182,-15.805440,-15.738566,-27.606624
183,-15.806589,-15.733607,-27.538714
184,-15.805911,-15.737052,-27.550260
185,-15.808638,-15.740452,-27.460197
186,-15.811960,-15.740645,-27.458069
187,-15.812510,-15.740348,-27.406635
188,-15.812711,-15.739363,-27.365628
189,-15.811961,-15.739933,-27.355334
190,-15.813765,-15.743954,-27.357088
191,-15.818979,-15.744136,-27.312908
