Epoch,beta_max/4,beta_max,4beta_max
1,-14.096255,-15.274965,-148.822479
2,-13.943842,-14.878822,-141.083421
3,-13.731219,-14.572338,-133.951008
4,-13.515709,-14.328488,-127.409191
5,-13.390697,-14.133156,-121.419277
6,-13.353899,-13.975378,-115.935929
7,-13.334548,-13.847661,-110.780051
8,-13.316771,-13.744500,-105.989092
9,-13.302538,-13.659545,-101.488691
10,-13.288254,-13.587599,-97.292830
11,-13.273293,-13.526623,-93.376439
12,-13.260732,-13.472715,-89.667669
13,-13.246464,-13.425961,-86.142226
14,-13.231997,-13.384669,-82.823010
15,-13.218015,-13.348034,-79.659894
16,-13.204818,-13.315303,-76.669883
17,-13.192730,-13.284984,-73.851448
18,-13.179832,-13.257633,-71.176976
19,-13.167778,-13.232512,-68.624325
20,-13.155720,-13.209012,-66.137058
21,-13.143212,-13.186880,-63.755407
22,-13.130793,-13.166039,-61.493611
23,-13.119305,-13.147198,-59.334830
24,-13.108414,-13.129849,-57.292143
25,-13.097811,-13.112520,-55.326596
26,-13.086369,-13.096103,-53.499112
27,-13.074944,-13.080689,-51.753396
28,-13.064538,-13.066425,-50.103026
29,-13.054480,-13.051948,-48.507928
30,-13.043870,-13.037965,-46.987989
31,-13.032950,-13.025319,-45.514465
32,-13.023328,-13.013279,-44.076963
33,-13.013850,-13.001594,-42.708389
34,-13.003938,-12.989498,-41.417049
35,-12.993692,-12.978543,-40.188652
36,-12.983843,-12.967137,-38.988692
37,-12.973644,-12.956175,-37.833799
38,-12.964003,-12.945760,-36.726475
39,-12.954903,-12.935506,-35.663605
40,-12.944683,-12.925045,-34.631035
41,-12.936451,-12.915493,-33.651563
42,-12.926107,-12.905730,-32.710701
43,-12.917276,-12.896981,-31.821774
44,-12.907894,-12.887176,-30.993082
45,-12.898462,-12.877491,-30.183750
46,-12.889419,-12.868103,-29.409777
47,-12.880339,-12.859436,-28.663095
48,-12.871684,-12.850707,-27.953510
49,-12.862146,-12.842108,-27.278855
50,-12.853385,-12.833352,-26.634656
51,-12.844531,-12.824712,-26.016080
52,-12.835995,-12.816557,-25.414428
53,-12.827608,-12.808436,-24.850634
54,-12.819212,-12.800131,-24.313634
55,-12.810481,-12.791791,-23.805423
56,-12.802428,-12.783220,-23.305358
57,-12.794511,-12.774489,-22.832122
58,-12.785818,-12.767257,-22.376988
59,-12.777081,-12.759656,-21.950430
60,-12.769149,-12.752196,-21.542125
61,-12.761359,-12.744405,-21.157366
62,-12.752523,-12.737274,-20.793873
63,-12.744525,-12.729617,-20.439502
64,-12.737090,-12.721832,-20.102096
65,-12.729366,-12.714707,-19.777194
66,-12.720742,-12.707893,-19.471066
67,-12.713099,-12.700683,-19.175601
68,-12.705442,-12.693324,-18.895118
69,-12.698116,-12.685632,-18.623274
70,-12.689959,-12.678108,-18.365481
71,-12.683662,-12.671249,-18.122544
72,-12.676024,-12.664159,-17.892034
73,-12.668501,-12.657028,-17.670665
74,-12.661032,-12.649339,-17.458867
75,-12.654109,-12.642523,-17.253335
76,-12.647537,-12.635862,-17.059909
77,-12.641074,-12.628968,-16.874154
78,-12.632627,-12.622470,-16.700268
79,-12.625949,-12.616066,-16.536639
80,-12.618635,-12.609575,-16.378252
81,-12.612918,-12.602750,-16.221901
82,-12.606807,-12.595412,-16.075355
83,-12.599684,-12.588648,-15.934572
84,-12.592048,-12.583030,-15.800446
85,-12.584780,-12.576957,-15.673683
86,-12.577345,-12.570241,-15.552121
87,-12.570950,-12.563678,-15.436575
88,-12.565183,-12.557169,-15.326521
89,-12.558579,-12.550057,-15.220951
90,-12.551885,-12.544189,-15.118653
91,-12.545875,-12.537639,-15.019816
92,-12.540093,-12.531659,-14.926920
93,-12.532639,-12.525239,-14.837011
94,-12.526683,-12.518630,-14.750400
95,-12.520703,-12.513224,-14.666912
96,-12.514746,-12.508101,-14.589758
97,-12.508783,-12.501782,-14.513803
98,-12.502456,-12.494964,-14.439773
99,-12.495943,-12.488980,-14.368628
100,-12.489206,-12.484872,-14.299926
101,-12.482444,-12.479127,-14.235208
102,-12.477196,-12.472414,-14.171939
103,-12.472137,-12.466846,-14.111655
104,-12.466929,-12.461565,-14.054698
105,-12.461106,-12.455873,-13.998818
106,-12.455857,-12.449568,-13.945832
107,-12.451246,-12.444159,-13.893377
108,-12.445203,-12.438346,-13.842894
109,-12.439675,-12.433322,-13.795321
110,-12.434224,-12.428345,-13.749598
111,-12.429693,-12.422953,-13.705572
112,-12.424280,-12.416744,-13.661941
113,-12.419455,-12.411138,-13.621932
114,-12.412966,-12.405419,-13.582621
115,-12.407019,-12.400620,-13.545240
116,-12.401868,-12.396742,-13.509357
117,-12.395787,-12.391942,-13.474427
118,-12.391009,-12.386015,-13.439759
119,-12.386296,-12.380584,-13.406392
120,-12.381248,-12.375529,-13.374502
121,-12.375588,-12.370491,-13.343540
122,-12.371234,-12.365073,-13.313566
123,-12.367834,-12.359520,-13.284656
124,-12.363023,-12.354664,-13.257224
125,-12.356872,-12.350779,-13.230739
126,-12.352240,-12.346329,-13.205062
127,-12.347471,-12.340712,-13.180615
128,-12.342957,-12.334431,-13.156204
129,-12.338274,-12.330086,-13.132700
130,-12.334072,-12.326898,-13.110430
131,-12.330555,-12.321847,-13.088535
132,-12.326086,-12.317183,-13.067331
133,-12.322165,-12.313589,-13.046649
134,-12.316292,-12.309584,-13.026858
135,-12.311293,-12.303898,-13.007032
136,-12.306588,-12.299482,-12.987679
137,-12.303834,-12.295628,-12.969713
138,-12.299216,-12.291621,-12.952354
139,-12.296217,-12.286320,-12.934913
140,-12.291938,-12.282593,-12.918354
141,-12.286953,-12.277976,-12.902059
142,-12.283132,-12.273229,-12.886426
143,-12.279732,-12.270202,-12.871219
144,-12.276188,-12.265119,-12.856558
145,-12.271626,-12.259457,-12.842840
146,-12.267335,-12.254903,-12.828519
147,-12.263059,-12.251005,-12.814639
148,-12.259214,-12.248527,-12.801349
149,-12.254792,-12.246318,-12.788790
150,-12.252291,-12.241000,-12.776133
151,-12.249588,-12.236971,-12.764246
152,-12.246537,-12.233052,-12.752514
153,-12.242024,-12.227696,-12.741004
154,-12.236669,-12.222702,-12.730045
155,-12.232961,-12.218527,-12.719095
156,-12.229262,-12.215544,-12.708005
157,-12.226135,-12.211642,-12.697196
158,-12.223972,-12.208339,-12.686612
159,-12.219960,-12.205475,-12.676462
160,-12.216563,-12.201709,-12.667233
161,-12.211048,-12.196635,-12.658327
162,-12.207046,-12.192702,-12.648981
163,-12.205284,-12.188918,-12.640128
164,-12.202163,-12.184915,-12.631243
165,-12.199302,-12.182096,-12.623067
166,-12.194710,-12.178010,-12.615383
167,-12.192315,-12.174975,-12.607351
168,-12.188927,-12.173030,-12.599166
169,-12.186633,-12.170162,-12.591467
170,-12.184059,-12.164410,-12.584013
171,-12.180642,-12.159787,-12.576254
172,-12.178928,-12.155657,-12.568373
173,-12.175329,-12.153115,-12.560759
