Epoch,chi_Mean_0.235,chi_Mean_0.94
227,-17.278937,-16.442187
228,-17.282773,-16.499479
229,-17.286821,-16.466509
230,-17.329575,-16.465169
231,-17.263711,-16.511526
232,-17.252743,-16.503398
233,-17.230654,-16.521323
234,-17.248942,-16.488876
235,-17.269069,-16.539921
236,-17.273748,-16.555489
237,-17.217654,-16.551833
238,-17.282040,-16.527954
239,-17.254077,-16.485280
240,-17.284894,-16.502350
241,-17.289045,-16.505630
242,-17.283072,-16.534116
243,-17.304464,-16.487828
244,-17.251374,-16.532487
245,-17.262353,-16.524590
246,-17.337083,-16.483951
247,-17.343629,-16.446319
248,-17.262364,-16.504146
249,-17.274675,-16.506620
250,-17.337913,-16.587765
251,-17.304088,-16.499128
252,-17.311974,-16.483255
253,-17.333684,-16.562006
254,-17.285051,-16.524385
255,-17.368213,-16.457913
256,-17.301767,-16.460589
257,-17.273972,-16.507124
258,-17.306714,-16.480932
259,-17.334651,-16.485051
260,-17.252846,-16.472161
261,-17.294570,-16.511263
262,-17.370034,-16.562657
263,-17.290375,-16.550696
264,-17.329183,-16.489194
265,-17.287161,-16.500730
266,-17.289445,-16.502917
267,-17.338979,-16.497415
268,-17.349791,-16.506757
269,-17.276347,-16.465302
270,-17.296980,-16.474355
271,-17.264393,-16.567789
272,-17.303419,-16.535741
273,-17.283727,-16.496939
274,-17.330605,-16.520119
275,-17.298093,-16.464253
276,-17.359580,-16.502542
277,-17.237270,-16.521384
278,-17.330882,-16.541724
279,-17.260083,-16.518066
280,-17.336367,-16.581510
281,-17.251616,-16.500407
282,-17.259817,-16.553544
283,-17.266754,-16.491876
284,-17.276171,-16.545467
285,-17.267562,-16.517998
286,-17.308846,-16.531940
287,-17.321864,-16.544676
288,-17.424908,-16.571331
289,-17.301608,-16.482938
290,-17.272586,-16.501310
291,-17.303899,-16.523893
292,-17.293252,-16.444155
293,-17.394798,-16.551702
294,-17.313140,-16.539782
295,-17.325250,-16.528905
296,-17.244496,-16.585750
