Epoch,chi_Mean_0.235,chi_Mean_0.94
991,-17.208812,-16.290001
992,-17.253136,-16.218949
993,-17.191179,-16.221593
994,-17.250426,-16.264377
995,-17.264859,-16.287693
996,-17.218445,-16.258582
997,-17.208985,-16.316006
998,-17.266202,-16.277932
999,-17.210008,-16.253227
1000,-17.231439,-16.275136
