Epoch,beta_max/4,beta_max,4beta_max
159,-12.397819,-12.340464,-12.704709
160,-12.395619,-12.337170,-12.695732
161,-12.393232,-12.334556,-12.686555
162,-12.389829,-12.332237,-12.678055
163,-12.386804,-12.329136,-12.669923
164,-12.383497,-12.325846,-12.661868
165,-12.380793,-12.322757,-12.653646
166,-12.377983,-12.319630,-12.645743
167,-12.375206,-12.316409,-12.638181
168,-12.372965,-12.314095,-12.630999
169,-12.370228,-12.311588,-12.623838
170,-12.367933,-12.307440,-12.616368
171,-12.366272,-12.304177,-12.609372
172,-12.362848,-12.302192,-12.602591
173,-12.360345,-12.299796,-12.596315
174,-12.357762,-12.296815,-12.589592
175,-12.356420,-12.292790,-12.583121
176,-12.354969,-12.289346,-12.577040
177,-12.352690,-12.288001,-12.570867
178,-12.350530,-12.286391,-12.565009
179,-12.347510,-12.283740,-12.559233
180,-12.344590,-12.280987,-12.553460
181,-12.342377,-12.277942,-12.548113
182,-12.340521,-12.274761,-12.542442
183,-12.338537,-12.271384,-12.536655
184,-12.336032,-12.268066,-12.530946
185,-12.333630,-12.264789,-12.525613
186,-12.331501,-12.260707,-12.520997
187,-12.329043,-12.258357,-12.516500
188,-12.326546,-12.256477,-12.511469
189,-12.323950,-12.253118,-12.506825
190,-12.321320,-12.250520,-12.502298
191,-12.319144,-12.248899,-12.497801
192,-12.318165,-12.246346,-12.493392
193,-12.316197,-12.243504,-12.488948
194,-12.313589,-12.240505,-12.484467
195,-12.311831,-12.237390,-12.480019
196,-12.310053,-12.234206,-12.475848
197,-12.308104,-12.231468,-12.471805
198,-12.305364,-12.228791,-12.468081
199,-12.303406,-12.226410,-12.464068
200,-12.300721,-12.223079,-12.460128
201,-12.298839,-12.219495,-12.457159
202,-12.296486,-12.218231,-12.453503
203,-12.295421,-12.215892,-12.449453
204,-12.292875,-12.213870,-12.445515
205,-12.291332,-12.211695,-12.441538
206,-12.289279,-12.208677,-12.438080
207,-12.287782,-12.205281,-12.434301
208,-12.286002,-12.202978,-12.430537
209,-12.283779,-12.201099,-12.426864
210,-12.281806,-12.199643,-12.423289
211,-12.280221,-12.196687,-12.420120
212,-12.278507,-12.194236,-12.417033
213,-12.276072,-12.192326,-12.414560
214,-12.273750,-12.189905,-12.411170
215,-12.271703,-12.188009,-12.407127
216,-12.269825,-12.184613,-12.403753
217,-12.267634,-12.182069,-12.401185
218,-12.265974,-12.178055,-12.397808
219,-12.264252,-12.173680,-12.394733
220,-12.261816,-12.171120,-12.391326
221,-12.259994,-12.167933,-12.388586
222,-12.256611,-12.165164,-12.385988
223,-12.253923,-12.163386,-12.382678
224,-12.252179,-12.162764,-12.379825
225,-12.250321,-12.160413,-12.377417
226,-12.248232,-12.157689,-12.374766
227,-12.246870,-12.154590,-12.372280
228,-12.245366,-12.152666,-12.369182
229,-12.244125,-12.150787,-12.366031
230,-12.242796,-12.147669,-12.363613
231,-12.239975,-12.145132,-12.360964
232,-12.238183,-12.141419,-12.357338
233,-12.236397,-12.138471,-12.354618
234,-12.234045,-12.136126,-12.353076
235,-12.232845,-12.135101,-12.350755
236,-12.230867,-12.132661,-12.347842
237,-12.229481,-12.129360,-12.345345
238,-12.227782,-12.126585,-12.342611
239,-12.224736,-12.124271,-12.339890
240,-12.222027,-12.121496,-12.338641
241,-12.219967,-12.118109,-12.336530
242,-12.219490,-12.116098,-12.332758
243,-12.217196,-12.113316,-12.329948
244,-12.215504,-12.111548,-12.326687
245,-12.213826,-12.108992,-12.324444
246,-12.211015,-12.106644,-12.322075
247,-12.208428,-12.103590,-12.319977
248,-12.207106,-12.100802,-12.318571
249,-12.206277,-12.097987,-12.316952
250,-12.204901,-12.095352,-12.313972
251,-12.202915,-12.094260,-12.311249
252,-12.201964,-12.092069,-12.308155
253,-12.199567,-12.088212,-12.306251
254,-12.196519,-12.085583,-12.303459
255,-12.193984,-12.082713,-12.301532
256,-12.193227,-12.079139,-12.299669
257,-12.190754,-12.076443,-12.297466
258,-12.189332,-12.073903,-12.295629
259,-12.189077,-12.072611,-12.294004
260,-12.187506,-12.070126,-12.291032
261,-12.184156,-12.067225,-12.289047
262,-12.182733,-12.065404,-12.286788
263,-12.181304,-12.063538,-12.285468
264,-12.178208,-12.060276,-12.282717
265,-12.175074,-12.057737,-12.280204
266,-12.173821,-12.054726,-12.277009
267,-12.171934,-12.052091,-12.275345
268,-12.169246,-12.051102,-12.272646
269,-12.165895,-12.048774,-12.271326
270,-12.165662,-12.046712,-12.269591
271,-12.163320,-12.044051,-12.266453
272,-12.161258,-12.042143,-12.263196
273,-12.159206,-12.039933,-12.260872
274,-12.158676,-12.036732,-12.258531
275,-12.156634,-12.033941,-12.256426
276,-12.154891,-12.031868,-12.254170
277,-12.152715,-12.031160,-12.252673
278,-12.151068,-12.029324,-12.250784
279,-12.147967,-12.026372,-12.248030
280,-12.145507,-12.023814,-12.245881
281,-12.144450,-12.019611,-12.244095
282,-12.142547,-12.015879,-12.242255
283,-12.140400,-12.013308,-12.239932
284,-12.138444,-12.010842,-12.238134
285,-12.136219,-12.008709,-12.235506
286,-12.133243,-12.007138,-12.234181
287,-12.130281,-12.006446,-12.233241
288,-12.127406,-12.003120,-12.231708
289,-12.125262,-11.999859,-12.229576
290,-12.122793,-11.997022,-12.226483
291,-12.122655,-11.993291,-12.224038
292,-12.120461,-11.990454,-12.221461
293,-12.116517,-11.989066,-12.218805
294,-12.115243,-11.987234,-12.216484
295,-12.113202,-11.984301,-12.215106
296,-12.110946,-11.980691,-12.213553
297,-12.107841,-11.978109,-12.210944
298,-12.106145,-11.977179,-12.209327
299,-12.103142,-11.975797,-12.207995
300,-12.100200,-11.973076,-12.205521
301,-12.097390,-11.969608,-12.203650
302,-12.095137,-11.965409,-12.202221
303,-12.093617,-11.962280,-12.199550
304,-12.091866,-11.958676,-12.195409
305,-12.088485,-11.955877,-12.192041
306,-12.085683,-11.953878,-12.190971
307,-12.083038,-11.951883,-12.189001
308,-12.080796,-11.950061,-12.187977
309,-12.077083,-11.947697,-12.185551
310,-12.074781,-11.945555,-12.183257
311,-12.074798,-11.943118,-12.180095
312,-12.074034,-11.940369,-12.176541
313,-12.072504,-11.938934,-12.174554
314,-12.070631,-11.937099,-12.172811
315,-12.067569,-11.934529,-12.170904
316,-12.064765,-11.931952,-12.167955
317,-12.061992,-11.930431,-12.165450
318,-12.060370,-11.928593,-12.163967
319,-12.058369,-11.924819,-12.162778
320,-12.056285,-11.921541,-12.160585
321,-12.053571,-11.918249,-12.157568
322,-12.049594,-11.915459,-12.156022
323,-12.045537,-11.913082,-12.153849
324,-12.043069,-11.910429,-12.151337
325,-12.040376,-11.908323,-12.148944
326,-12.037998,-11.907102,-12.146682
327,-12.035965,-11.904623,-12.144820
328,-12.034674,-11.901084,-12.142625
329,-12.033503,-11.898519,-12.140796
330,-12.031417,-11.895596,-12.140512
331,-12.028842,-11.893314,-12.138650
332,-12.026483,-11.891568,-12.137631
333,-12.023726,-11.890017,-12.136325
334,-12.021020,-11.888042,-12.133831
335,-12.019487,-11.885953,-12.129886
336,-12.018744,-11.884085,-12.126926
337,-12.016515,-11.882991,-12.124983
338,-12.014288,-11.881701,-12.122340
339,-12.010871,-11.879169,-12.120613
340,-12.006760,-11.876585,-12.118322
341,-12.004779,-11.871889,-12.115984
342,-12.004874,-11.870683,-12.114723
343,-12.001700,-11.868753,-12.111545
344,-11.999625,-11.866545,-12.110429
345,-11.996883,-11.863534,-12.108864
346,-11.994506,-11.861486,-12.105712
