Epoch,chi_Mean_0.235,chi_Mean_0.94,chi_Mean_3.76
1,-43.521188,-39.438230,-53.837857
2,-35.058223,-31.737910,-43.224769
3,-31.257688,-28.245660,-40.201986
4,-28.836522,-26.155734,-38.765724
5,-27.425246,-25.080908,-37.937341
6,-26.969089,-24.523533,-37.386860
7,-26.580772,-24.069472,-37.049951
8,-26.238543,-23.686649,-36.850886
9,-25.882607,-23.345991,-36.754280
10,-25.528165,-23.063154,-36.632680
11,-25.212636,-22.855843,-36.614101
12,-24.865018,-22.645333,-36.572279
13,-24.491187,-22.440935,-36.545555
14,-24.171369,-22.285455,-36.437121
15,-23.861462,-22.156090,-36.446304
16,-23.586828,-22.049783,-36.363737
17,-23.328754,-21.938706,-36.378554
18,-23.117383,-21.843543,-36.358721
19,-22.933560,-21.748702,-36.377410
20,-22.758277,-21.664249,-36.330764
21,-22.598825,-21.597949,-36.284436
22,-22.440315,-21.525914,-36.305904
23,-22.296584,-21.464905,-36.284284
24,-22.177264,-21.424063,-36.257503
25,-22.069339,-21.370630,-36.258833
26,-21.988721,-21.315784,-36.192024
27,-21.902985,-21.275304,-36.185335
28,-21.825140,-21.231407,-36.158826
29,-21.761964,-21.196969,-36.126729
30,-21.691827,-21.171963,-36.091113
31,-21.628586,-21.128057,-36.059499
32,-21.577646,-21.084523,-35.972662
33,-21.543990,-21.067779,-35.950014
34,-21.505402,-21.039181,-35.958451
35,-21.484752,-21.005545,-35.916752
36,-21.480354,-20.978440,-35.838014
37,-21.476455,-20.954059,-35.776465
38,-21.458889,-20.933737,-35.761791
39,-21.448113,-20.904611,-35.681344
40,-21.437203,-20.864103,-35.622093
41,-21.429337,-20.854862,-35.573499
42,-21.418510,-20.837988,-35.562609
43,-21.400631,-20.824888,-35.465091
44,-21.391332,-20.809129,-35.436206
45,-21.381973,-20.774042,-35.403986
46,-21.356777,-20.751578,-35.366044
47,-21.345728,-20.741462,-35.329136
48,-21.332301,-20.710663,-35.253755
49,-21.306425,-20.692153,-35.218101
50,-21.303363,-20.687074,-35.171969
51,-21.285580,-20.664463,-35.117951
52,-21.242638,-20.643037,-35.086035
53,-21.224205,-20.627749,-35.009663
54,-21.203820,-20.615811,-34.975345
55,-21.178080,-20.612989,-34.921767
56,-21.146487,-20.586826,-34.889605
57,-21.131654,-20.571705,-34.842087
58,-21.105862,-20.552040,-34.816998
59,-21.084423,-20.534708,-34.751542
60,-21.050009,-20.512622,-34.728651
61,-21.044589,-20.504194,-34.641353
62,-21.016215,-20.493716,-34.592779
63,-21.005705,-20.466448,-34.540209
64,-20.988713,-20.439852,-34.539817
65,-20.940606,-20.420842,-34.459222
66,-20.942607,-20.397817,-34.459423
67,-20.907191,-20.383012,-34.389445
68,-20.894031,-20.369496,-34.370598
69,-20.874751,-20.335761,-34.314478
70,-20.881249,-20.323847,-34.255627
71,-20.843135,-20.307263,-34.224786
72,-20.838009,-20.303853,-34.161472
73,-20.825149,-20.271800,-34.156805
74,-20.806733,-20.245907,-34.093744
75,-20.784021,-20.237130,-34.061854
76,-20.775199,-20.246406,-34.013345
77,-20.763564,-20.230164,-33.970106
78,-20.738095,-20.203833,-33.954190
79,-20.711780,-20.198875,-33.853337
80,-20.698815,-20.184648,-33.844531
81,-20.662398,-20.167654,-33.788002
82,-20.650474,-20.167055,-33.727867
83,-20.652557,-20.147839,-33.733704
84,-20.648113,-20.151113,-33.697461
