Epoch,beta_max/4,beta_max,4beta_max
1,-14.188807,-15.052146,-53.627459
2,-14.184272,-14.985735,-50.199238
3,-14.179545,-14.922594,-47.220598
4,-14.174654,-14.864644,-44.594930
5,-14.169427,-14.808574,-42.269815
6,-14.164086,-14.755507,-40.223669
7,-14.158474,-14.705703,-38.389703
8,-14.152668,-14.658262,-36.733245
9,-14.146484,-14.612503,-35.243884
10,-14.140039,-14.569078,-33.891492
11,-14.133224,-14.527514,-32.664094
12,-14.126087,-14.487188,-31.551917
13,-14.118664,-14.448025,-30.514943
14,-14.110964,-14.410293,-29.553823
15,-14.102949,-14.374206,-28.686397
16,-14.094577,-14.339671,-27.879494
17,-14.085796,-14.305566,-27.143832
18,-14.076682,-14.272949,-26.444512
19,-14.067259,-14.241149,-25.803892
20,-14.057321,-14.210730,-25.208604
21,-14.047279,-14.181279,-24.655746
22,-14.036737,-14.152573,-24.139386
23,-14.025872,-14.124624,-23.653705
24,-14.014670,-14.097527,-23.203316
25,-14.003139,-14.071108,-22.776657
26,-13.991304,-14.045551,-22.379599
27,-13.978946,-14.020778,-22.005851
28,-13.966422,-13.996095,-21.659658
29,-13.953652,-13.972465,-21.330227
30,-13.940508,-13.949432,-21.016972
31,-13.927066,-13.927007,-20.723911
32,-13.913439,-13.905430,-20.441840
33,-13.899514,-13.884718,-20.173435
34,-13.885117,-13.863889,-19.922591
35,-13.870775,-13.844229,-19.688808
36,-13.856423,-13.824372,-19.466897
37,-13.841685,-13.805139,-19.254053
38,-13.827170,-13.786746,-19.053206
39,-13.812509,-13.768926,-18.857869
40,-13.797855,-13.751784,-18.672154
41,-13.783129,-13.735055,-18.496647
42,-13.768275,-13.718371,-18.327886
43,-13.753520,-13.702646,-18.166597
44,-13.739001,-13.687051,-18.011616
45,-13.724515,-13.672098,-17.862531
46,-13.710402,-13.657350,-17.721757
47,-13.696359,-13.643116,-17.589701
48,-13.682493,-13.629260,-17.462785
49,-13.668661,-13.615913,-17.335902
50,-13.655347,-13.603293,-17.218992
51,-13.641614,-13.590633,-17.106010
52,-13.628710,-13.578326,-16.996190
53,-13.615812,-13.566245,-16.890342
54,-13.603374,-13.555035,-16.789194
55,-13.590827,-13.543820,-16.691304
56,-13.578853,-13.532677,-16.596985
57,-13.567262,-13.522360,-16.503972
58,-13.555814,-13.512321,-16.415867
59,-13.544351,-13.502369,-16.329970
60,-13.533653,-13.492625,-16.248259
61,-13.523331,-13.483359,-16.168635
62,-13.513231,-13.474245,-16.092190
63,-13.503554,-13.465490,-16.019037
64,-13.494458,-13.457133,-15.948015
65,-13.485273,-13.448889,-15.879123
66,-13.476938,-13.440782,-15.810537
67,-13.468514,-13.433099,-15.745233
68,-13.460717,-13.425659,-15.682039
69,-13.452990,-13.418333,-15.620756
70,-13.445771,-13.411599,-15.560708
71,-13.438578,-13.404752,-15.503150
72,-13.431862,-13.398092,-15.445701
