Epoch,beta_max/4,beta_max,4beta_max
159,-13.196192,-13.030566,-12.989430
160,-13.194779,-13.028493,-12.984592
161,-13.193248,-13.026286,-12.979193
162,-13.191804,-13.024127,-12.973944
163,-13.190319,-13.022051,-12.968549
164,-13.188847,-13.019816,-12.963417
165,-13.187363,-13.017741,-12.958354
166,-13.185887,-13.015620,-12.952972
167,-13.184448,-13.013538,-12.948029
168,-13.182922,-13.011431,-12.943237
169,-13.181433,-13.009384,-12.938539
170,-13.179967,-13.007373,-12.933582
171,-13.178454,-13.005288,-12.928798
172,-13.176978,-13.003372,-12.924277
173,-13.175476,-13.001308,-12.919732
174,-13.174032,-12.999323,-12.915260
175,-13.172521,-12.997350,-12.911020
176,-13.171079,-12.995306,-12.906631
177,-13.169613,-12.993321,-12.902454
178,-13.168140,-12.991446,-12.897954
179,-13.166681,-12.989531,-12.893912
180,-13.165251,-12.987596,-12.889882
181,-13.163839,-12.985630,-12.885942
182,-13.162383,-12.983743,-12.882053
183,-13.160986,-12.981894,-12.878053
184,-13.159514,-12.979991,-12.874332
185,-13.158081,-12.978160,-12.870340
186,-13.156627,-12.976309,-12.866929
187,-13.155167,-12.974449,-12.863122
188,-13.153758,-12.972643,-12.859392
189,-13.152324,-12.970823,-12.855552
190,-13.150886,-12.969012,-12.851693
191,-13.149401,-12.967162,-12.847907
192,-13.147917,-12.965363,-12.843890
193,-13.146401,-12.963621,-12.840778
194,-13.145007,-12.961790,-12.837468
195,-13.143540,-12.960016,-12.833934
196,-13.142087,-12.958210,-12.830715
197,-13.140639,-12.956444,-12.827550
198,-13.139169,-12.954581,-12.824607
199,-13.137761,-12.952850,-12.820887
200,-13.136333,-12.951055,-12.817498
201,-13.134920,-12.949366,-12.814142
202,-13.133415,-12.947584,-12.811215
203,-13.131978,-12.945807,-12.808252
204,-13.130565,-12.944111,-12.805268
205,-13.129123,-12.942375,-12.801842
206,-13.127625,-12.940625,-12.798898
207,-13.126109,-12.938958,-12.795885
208,-13.124703,-12.937160,-12.792898
209,-13.123280,-12.935423,-12.790162
210,-13.121837,-12.933797,-12.787239
211,-13.120394,-12.932078,-12.784497
212,-13.118989,-12.930437,-12.781373
213,-13.117594,-12.928690,-12.778950
214,-13.116125,-12.927037,-12.776120
215,-13.114728,-12.925348,-12.773418
216,-13.113278,-12.923710,-12.770350
217,-13.111771,-12.921989,-12.767525
