beta,q_v,q_h,r_v,q_v_hat,q_h_hat,r_v_hat,iter
0.4500,1.0041969475e-145,1.0041969475e-145,1.0000000000e+00,1.0167494093e-146,1.0167494093e-146,2.5000000000e-33,1.0
0.4600,1.0167494093e-146,1.0167494096e-146,1.0000000000e+00,1.0757208754e-147,1.0757208751e-147,2.5000000000e-33,1.0
0.4700,1.0757208754e-147,1.0757208754e-147,1.0000000000e+00,1.1881337069e-148,1.1881337069e-148,2.5000000000e-33,1.0
0.4800,1.1881337069e-148,1.1881337072e-148,1.0000000000e+00,1.3687300307e-149,1.3687300303e-149,2.5000000000e-33,1.0
0.4900,1.3687300307e-149,1.3687300307e-149,1.0000000000e+00,1.6431604018e-150,1.6431604018e-150,2.5000000000e-33,1.0
0.5000,1.6431604018e-150,1.6431604023e-150,1.0000000000e+00,2.0539505029e-151,2.0539505023e-151,2.5000000000e-33,1.0
0.5100,2.0539505029e-151,2.0539505029e-151,1.0000000000e+00,2.6711626290e-152,2.6711626290e-152,2.5000000000e-33,1.0
0.5200,2.6711626290e-152,2.6711626297e-152,1.0000000000e+00,3.6114118754e-153,3.6114118744e-153,2.5000000000e-33,1.0
0.5300,3.6114118754e-153,3.6114118754e-153,1.0000000000e+00,5.0722279789e-154,5.0722279789e-154,2.5000000000e-33,1.0
0.5400,5.0722279789e-154,5.0722279803e-154,1.0000000000e+00,7.3953083953e-155,7.3953083933e-155,2.5000000000e-33,1.0
0.5500,7.3953083953e-155,7.3953083953e-155,1.0000000000e+00,1.1185403948e-155,1.1185403948e-155,2.5000000000e-33,1.0
0.5600,1.1185403948e-155,1.1185403951e-155,1.0000000000e+00,1.7538713395e-156,1.7538713390e-156,2.5000000000e-33,1.0
0.5700,1.7538713395e-156,1.7538713395e-156,1.0000000000e+00,2.8491639911e-157,2.8491639911e-157,2.5000000000e-33,1.0
0.5800,2.8491639911e-157,2.8491639918e-157,1.0000000000e+00,4.7922938343e-158,4.7922938330e-158,2.5000000000e-33,1.0
0.5900,4.7922938343e-158,4.7922938343e-158,1.0000000000e+00,8.3409874186e-159,8.3409874186e-159,2.5000000000e-33,1.0
0.6000,8.3409874186e-159,8.3409874209e-159,1.0000000000e+00,1.5013777358e-159,1.5013777353e-159,2.5000000000e-33,1.0
0.6100,1.5013777358e-159,1.5013777358e-159,1.0000000000e+00,2.7933132774e-160,2.7933132774e-160,2.5000000000e-33,1.0
0.6200,2.7933132774e-160,2.7933132781e-160,1.0000000000e+00,5.3687481206e-161,5.3687481191e-161,2.5000000000e-33,1.0
0.6300,5.3687481206e-161,5.3687481206e-161,1.0000000000e+00,1.0654280645e-161,1.0654280645e-161,2.5000000000e-33,1.0
0.6400,1.0654280645e-161,1.0654280648e-161,1.0000000000e+00,2.1819966768e-162,2.1819966762e-162,2.5000000000e-33,1.0
0.6500,2.1819966768e-162,2.1819966768e-162,1.0000000000e+00,4.6094679797e-163,4.6094679797e-163,2.5000000000e-33,1.0
0.6600,4.6094679797e-163,4.6094679809e-163,1.0000000000e+00,1.0039421262e-163,1.0039421260e-163,2.5000000000e-33,1.0
0.6700,1.0039421262e-163,1.0039421262e-163,1.0000000000e+00,2.2533481024e-164,2.2533481024e-164,2.5000000000e-33,1.0
0.6800,2.2533481024e-164,2.2533481030e-164,1.0000000000e+00,5.2097408141e-165,5.2097408127e-165,2.5000000000e-33,1.0
0.6900,5.2097408141e-165,5.2097408141e-165,1.0000000000e+00,1.2401788008e-165,1.2401788008e-165,2.5000000000e-33,1.0
0.7000,1.2401788008e-165,1.2401788011e-165,1.0000000000e+00,3.0384380628e-166,3.0384380620e-166,2.5000000000e-33,1.0
0.7100,3.0384380628e-166,3.0384380628e-166,1.0000000000e+00,7.6583831373e-167,7.6583831373e-167,2.5000000000e-33,1.0
0.7200,7.6583831373e-167,7.6583831394e-167,1.0000000000e+00,1.9850529097e-167,1.9850529092e-167,2.5000000000e-33,1.0
0.7300,1.9850529097e-167,1.9850529097e-167,1.0000000000e+00,5.2891734780e-168,5.2891734780e-168,2.5000000000e-33,1.0
0.7400,5.2891734780e-168,5.2891734794e-168,1.0000000000e+00,1.4481756987e-168,1.4481756983e-168,2.5000000000e-33,1.0
0.7500,1.4481756987e-168,1.4481756987e-168,1.0000000000e+00,4.0729941525e-169,4.0729941525e-169,2.5000000000e-33,1.0
0.7600,4.0729941525e-169,4.0729941536e-169,1.0000000000e+00,1.1762807116e-169,1.1762807112e-169,2.5000000000e-33,1.0
0.7700,1.1762807116e-169,1.1762807116e-169,1.0000000000e+00,3.4870841694e-170,3.4870841694e-170,2.5000000000e-33,1.0
0.7800,3.4870841694e-170,3.4870841704e-170,1.0000000000e+00,1.0607710046e-170,1.0607710043e-170,2.5000000000e-33,1.0
0.7900,1.0607710046e-170,1.0607710046e-170,1.0000000000e+00,3.3101359200e-171,3.3101359200e-171,2.5000000000e-33,1.0
0.8000,3.3101359200e-171,3.3101359209e-171,1.0000000000e+00,1.0592434947e-171,1.0592434944e-171,2.5000000000e-33,1.0
0.8100,1.0592434947e-171,1.0592434947e-171,1.0000000000e+00,3.4748482843e-172,3.4748482843e-172,2.5000000000e-33,1.0
0.8200,3.4748482843e-172,3.4748482853e-172,1.0000000000e+00,1.1682439935e-172,1.1682439932e-172,2.5000000000e-33,1.0
0.8300,1.1682439935e-172,1.1682439935e-172,1.0000000000e+00,4.0240164356e-173,4.0240164356e-173,2.5000000000e-33,1.0
0.8400,4.0240164356e-173,4.0240164368e-173,1.0000000000e+00,1.4196729989e-173,1.4196729985e-173,2.5000000000e-33,1.0
0.8500,1.4196729989e-173,1.4196729989e-173,1.0000000000e+00,5.1285687085e-174,5.1285687085e-174,2.5000000000e-33,1.0
0.8600,5.1285687085e-174,5.1285687099e-174,1.0000000000e+00,1.8965447089e-174,1.8965447084e-174,2.5000000000e-33,1.0
0.8700,1.8965447089e-174,1.8965447089e-174,1.0000000000e+00,7.1774734509e-175,7.1774734509e-175,2.5000000000e-33,1.0
0.8800,7.1774734509e-175,7.1774734529e-175,1.0000000000e+00,2.7791177210e-175,2.7791177202e-175,2.5000000000e-33,1.0
0.8900,2.7791177210e-175,2.7791177210e-175,1.0000000000e+00,1.1006695734e-175,1.1006695734e-175,2.5000000000e-33,1.0
0.9000,1.1006695734e-175,1.1006695737e-175,1.0000000000e+00,4.4577117734e-176,4.4577117722e-176,2.5000000000e-33,1.0
0.9100,4.4577117734e-176,4.4577117734e-176,1.0000000000e+00,1.8457155598e-176,1.8457155598e-176,2.5000000000e-33,1.0
0.9200,1.8457155598e-176,1.8457155603e-176,1.0000000000e+00,7.8110682512e-177,7.8110682491e-177,2.5000000000e-33,1.0
0.9300,7.8110682512e-177,7.8110682512e-177,1.0000000000e+00,3.3778964652e-177,3.3778964652e-177,2.5000000000e-33,1.0
0.9400,3.3778964652e-177,3.3778964662e-177,1.0000000000e+00,1.4923546588e-177,1.4923546583e-177,2.5000000000e-33,1.0
0.9500,1.4923546588e-177,1.4923546588e-177,1.0000000000e+00,6.7342503976e-178,6.7342503976e-178,2.5000000000e-33,1.0
0.9600,6.7342503976e-178,6.7342503995e-178,1.0000000000e+00,3.1031425841e-178,3.1031425832e-178,2.5000000000e-33,1.0
0.9700,3.1031425841e-178,3.1031425841e-178,1.0000000000e+00,1.4598734287e-178,1.4598734287e-178,2.5000000000e-33,1.0
0.9800,1.4598734287e-178,1.4598734291e-178,1.0000000000e+00,7.0103122065e-179,7.0103122045e-179,2.5000000000e-33,1.0
0.9900,7.0103122065e-179,7.0103122065e-179,1.0000000000e+00,3.4354034968e-179,3.4354034968e-179,2.5000000000e-33,1.0
1.0000,3.4354034968e-179,3.4354034977e-179,1.0000000000e+00,1.7177017489e-179,1.7177017484e-179,2.5000000000e-33,1.0
1.0100,1.7177017489e-179,1.7177017489e-179,1.0000000000e+00,8.7611377701e-180,8.7611377701e-180,2.5000000000e-33,1.0
1.0200,8.7611377701e-180,8.7611377725e-180,1.0000000000e+00,4.5575438693e-180,4.5575438680e-180,2.5000000000e-33,1.0
1.0300,4.5575438693e-180,4.5575438693e-180,1.0000000000e+00,2.4175491454e-180,2.4175491454e-180,2.5000000000e-33,1.0
1.0400,2.4175491454e-180,2.4175491461e-180,1.0000000000e+00,1.3074105782e-180,1.3074105779e-180,2.5000000000e-33,1.0
1.0500,1.3074105782e-180,1.3074105782e-180,1.0000000000e+00,7.2071008124e-181,7.2071008124e-181,2.5000000000e-33,1.0
1.0600,7.2071008124e-181,7.2071008144e-181,1.0000000000e+00,4.0489492375e-181,4.0489492364e-181,2.5000000000e-33,1.0
1.0700,4.0489492375e-181,4.0489492375e-181,1.0000000000e+00,2.3178209910e-181,2.3178209910e-181,2.5000000000e-33,1.0
