alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
2.0,0.0100,1.0001995824e-02,9.9340294033e-03,6.6226862689e-07,3.3339986079e-07,4.38626e-07
2.0,0.0200,1.0007972952e-02,9.9349909187e-03,2.6493309117e-06,1.3343963937e-06,1.75520e-06
2.0,0.0300,1.0017926813e-02,9.9365959855e-03,5.9619575913e-06,3.0053780440e-06,3.95179e-06
2.0,0.0400,1.0031871859e-02,9.9388484211e-03,1.0601438316e-05,5.3503316581e-06,7.03186e-06
2.0,0.0500,1.0049828370e-02,9.9417535866e-03,1.6569589311e-05,8.3748569748e-06,1.10003e-05
2.0,0.0600,1.0071822525e-02,9.9453184069e-03,2.3868764177e-05,1.2086187030e-05,1.58633e-05
2.0,0.0700,1.0097886491e-02,9.9495513956e-03,3.2501867892e-05,1.6493214603e-05,2.16286e-05
2.0,0.0800,1.0128058534e-02,9.9544626856e-03,4.2472374125e-05,2.1606524873e-05,2.83054e-05
2.0,0.0900,1.0162383151e-02,9.9600640674e-03,5.3784345964e-05,2.7438434508e-05,3.59044e-05
2.0,0.1000,1.0200911223e-02,9.9663690306e-03,6.6442460204e-05,3.4003037410e-05,4.44377e-05
2.0,0.1100,1.0243700198e-02,9.9733928159e-03,8.0452035382e-05,4.1316257467e-05,5.39191e-05
2.0,0.1200,1.0290814292e-02,9.9811524713e-03,9.5819063724e-05,4.9395908602e-05,6.43640e-05
2.0,0.1300,1.0342324717e-02,9.9896669164e-03,1.1255024726e-04,5.8261762575e-05,7.57894e-05
2.0,0.1400,1.0398309942e-02,9.9989570147e-03,1.3065303833e-04,6.7935624954e-05,8.82142e-05
2.0,0.1500,1.0458855974e-02,1.0009045654e-02,1.5013568481e-04,7.8441419809e-05,1.01659e-04
2.0,0.1600,1.0524056683e-02,1.0019957835e-02,1.7100728039e-04,8.9805283693e-05,1.16146e-04
2.0,0.1700,1.0594014145e-02,1.0031720771e-02,1.9327782019e-04,1.0205566960e-04,1.31700e-04
2.0,0.1800,1.0668839036e-02,1.0044363996e-02,2.1695826231e-04,1.1522346159e-04,1.48348e-04
2.0,0.1900,1.0748651055e-02,1.0057919483e-02,2.4206059555e-04,1.2934210103e-04,1.66117e-04
2.0,0.2000,1.0833579397e-02,1.0072421779e-02,2.6859791411e-04,1.4444772529e-04,1.85039e-04
2.0,0.2100,1.0923763251e-02,1.0087908144e-02,2.9658449943e-04,1.6057931980e-04,2.05148e-04
2.0,0.2200,1.1019352385e-02,1.0104418712e-02,3.2603591045e-04,1.7777888515e-04,2.26479e-04
2.0,0.2300,1.1120507746e-02,1.0121996667e-02,3.5696908246e-04,1.9609161992e-04,2.49070e-04
2.0,0.2400,1.1227402142e-02,1.0140688426e-02,3.8940243555e-04,2.1556612112e-04,2.72964e-04
2.0,0.2500,1.1340220978e-02,1.0160543851e-02,4.2335599377e-04,2.3625460371e-04,2.98203e-04
2.0,0.2600,1.1459163068e-02,1.0181616475e-02,4.5885151580e-04,2.5821314113e-04,3.24837e-04
2.0,0.2700,1.1584441519e-02,1.0203963752e-02,4.9591263835e-04,2.8150192891e-04,3.52915e-04
2.0,0.2800,1.1716284703e-02,1.0227647328e-02,5.3456503368e-04,3.0618557358e-04,3.82492e-04
2.0,0.2900,1.1854937326e-02,1.0252733344e-02,5.7483658285e-04,3.3233340971e-04,4.13627e-04
2.0,0.3000,1.2000661579e-02,1.0279292754e-02,6.1675756522e-04,3.6001984737e-04,4.46382e-04
2.0,0.3100,1.2153738441e-02,1.0307401695e-02,6.6036086861e-04,3.8932475473e-04,4.80825e-04
2.0,0.3200,1.2314469075e-02,1.0337141882e-02,7.0568221914e-04,4.2033387777e-04,5.17026e-04
2.0,0.3300,1.2483176379e-02,1.0368601036e-02,7.5276043524e-04,4.5313930257e-04,5.55063e-04
2.0,0.3400,1.2660206691e-02,1.0401873370e-02,8.0163770773e-04,4.8783996451e-04,5.95018e-04
2.0,0.3500,1.2845931668e-02,1.0437060111e-02,8.5235990910e-04,5.2454220976e-04,6.36980e-04
2.0,0.3600,1.3040750357e-02,1.0474270085e-02,9.0497693534e-04,5.6336041541e-04,6.81044e-04
2.0,0.3700,1.3245091491e-02,1.0513620364e-02,9.5954308518e-04,6.0441767503e-04,7.27310e-04
2.0,0.3800,1.3459416029e-02,1.0555236970e-02,1.0161174790e-03,6.4784655820e-04,7.75889e-04
2.0,0.3900,1.3684219933e-02,1.0599255661e-02,1.0747645240e-03,6.9378995059e-04,8.26899e-04
2.0,0.4000,1.3920037330e-02,1.0645822817e-02,1.1355544338e-03,7.4240199094e-04,8.80464e-04
2.0,0.4100,1.4167443952e-02,1.0695096407e-02,1.1985638040e-03,7.9384910943e-04,9.36723e-04
2.0,0.4200,1.4427060996e-02,1.0747247068e-02,1.2638762552e-03,8.4831118655e-04,9.95820e-04
2.0,0.4300,1.4699559432e-02,1.0802459313e-02,1.3315831513e-03,9.0598284633e-04,1.05791e-03
2.0,0.4400,1.4985664811e-02,1.0860932878e-02,1.4017844035e-03,9.6707490248e-04,1.12318e-03
2.0,0.4500,1.5286162665e-02,1.0922884243e-02,1.4745893728e-03,1.0318159799e-03,1.19179e-03
2.0,0.4600,1.5601904492e-02,1.0988548287e-02,1.5501178783e-03,1.1004543301e-03,1.26396e-03
2.0,0.4700,1.5933814625e-02,1.1058180233e-02,1.6285013424e-03,1.1732598836e-03,1.33990e-03
2.0,0.4800,1.6282897840e-02,1.1132057766e-02,1.7098840728e-03,1.2505265541e-03,1.41984e-03
2.0,0.4900,1.6650248003e-02,1.1210483449e-02,1.7944247174e-03,1.3325748485e-03,1.50403e-03
2.0,0.5000,1.7037057872e-02,1.1293787471e-02,1.8822979118e-03,1.4197548226e-03,1.59277e-03
2.0,0.5100,1.7444630146e-02,1.1382330710e-02,1.9736961451e-03,1.5124494337e-03,1.68634e-03
2.0,0.5200,1.7874390163e-02,1.1476508303e-02,2.0688318968e-03,1.6110783667e-03,1.78508e-03
2.0,0.5300,1.8327900261e-02,1.1576753637e-02,2.1679400645e-03,1.7161023944e-03,1.88934e-03
2.0,0.5400,1.8806876272e-02,1.1683542944e-02,2.2712807482e-03,1.8280283736e-03,1.99953e-03
2.0,0.5500,1.9313206451e-02,1.1797400574e-02,2.3791424491e-03,1.9474149838e-03,2.11607e-03
2.0,0.5600,1.9848973148e-02,1.1918905015e-02,2.4918457418e-03,2.0748793264e-03,2.23943e-03
2.0,0.5700,2.0416478044e-02,1.2048695914e-02,2.6097475350e-03,2.2111045721e-03,2.37015e-03
2.0,0.5800,2.1018271181e-02,1.2187482138e-02,2.7332459942e-03,2.3568488084e-03,2.50879e-03
2.0,0.5900,2.1657184750e-02,1.2336051116e-02,2.8627862623e-03,2.5129553372e-03,2.65600e-03
2.0,0.6000,2.2336372597e-02,1.2495279810e-02,2.9988671545e-03,2.6803647117e-03,2.81248e-03
2.0,0.6100,2.3059356372e-02,1.2666147463e-02,3.1420489807e-03,2.8601288354e-03,2.97900e-03
2.0,0.6200,2.3830079871e-02,1.2849750608e-02,3.2929627559e-03,3.0534275675e-03,3.15644e-03
2.0,0.6300,2.4652973013e-02,1.3047320708e-02,3.4523210593e-03,3.2615883296e-03,3.34578e-03
2.0,0.6400,2.5533028016e-02,1.3260245145e-02,3.6209309410e-03,3.4861094252e-03,3.54808e-03
2.0,0.6500,2.6475889769e-02,1.3490092026e-02,3.7997092540e-03,3.7286878091e-03,3.76458e-03
2.0,0.6600,2.7487964261e-02,1.3738639968e-02,3.9897010468e-03,3.9912524108e-03,3.99663e-03
2.0,0.6700,2.8576548857e-02,1.4007913748e-02,4.1921016544e-03,4.2760042606e-03,4.24578e-03
2.0,0.6800,2.9749989968e-02,1.4300227383e-02,4.4082834278e-03,4.5854651204e-03,4.51375e-03
2.0,0.6900,3.1017874404e-02,1.4618236303e-02,4.6398282025e-03,4.9225366679e-03,4.80253e-03
2.0,0.7000,3.2391263990e-02,1.4965001086e-02,4.8885670215e-03,5.2905731184e-03,5.11434e-03
2.0,0.7100,3.3882983895e-02,1.5344065694e-02,5.1566290107e-03,5.6934707271e-03,5.45173e-03
2.0,0.7200,3.5507979522e-02,1.5759553916e-02,5.4465018332e-03,6.1357788613e-03,5.81762e-03
2.0,0.7300,3.7283761929e-02,1.6216289311e-02,5.7611070491e-03,6.6228389106e-03,6.21534e-03
2.0,0.7400,3.9230966791e-02,1.6719945279e-02,6.1038946899e-03,7.1609591382e-03,6.64871e-03
2.0,0.7500,4.1374060981e-02,1.7277233915e-02,6.4789627180e-03,7.7576364339e-03,7.12213e-03
2.0,0.7600,4.3742243419e-02,1.7896145581e-02,6.8912091252e-03,8.4218399329e-03,7.64068e-03
2.0,0.7700,4.6370601673e-02,1.8586255123e-02,7.3465271085e-03,9.1643765773e-03,8.21020e-03
2.0,0.7800,4.9301607941e-02,1.9359115372e-02,7.8520571950e-03,9.9983660905e-03,8.83740e-03
2.0,0.7900,5.2587072392e-02,2.0228767660e-02,8.4165159312e-03,1.0939863960e-02,9.53002e-03
2.0,0.8000,5.6290708275e-02,2.1212406874e-02,9.0506269330e-03,1.2008684432e-02,1.02969e-02
2.0,0.8100,6.0491529864e-02,2.2331254475e-02,9.7676907076e-03,1.3229497581e-02,1.11479e-02
2.0,0.8200,6.5288378313e-02,2.3611708647e-02,1.0584341930e-02,1.4633301859e-02,1.20941e-02
2.0,0.8300,7.0805974908e-02,2.5086862227e-02,1.1521559592e-02,1.6259412038e-02,1.31474e-02
2.0,0.8400,7.7203031028e-02,2.6798503030e-02,1.2606015825e-02,1.8158152898e-02,1.43197e-02
2.0,0.8500,8.4683065980e-02,2.8799725454e-02,1.3871867760e-02,2.0394505057e-02,1.56218e-02
2.0,0.8600,9.3508649029e-02,3.1158270051e-02,1.5363104353e-02,2.3052998941e-02,1.70605e-02
2.0,0.8700,1.0401960944e-01,3.3960615116e-02,1.7136526388e-02,2.6244147461e-02,1.86344e-02
2.0,0.8800,1.1665493195e-01,3.7316557413e-02,1.9265294707e-02,3.0112526433e-02,2.03262e-02
2.0,0.8900,1.3197577757e-01,4.1363337788e-02,2.1842599908e-02,3.4846004471e-02,2.20914e-02
2.0,0.9000,1.5068191548e-01,4.6266973270e-02,2.4984165566e-02,4.0684117178e-02,2.38450e-02
2.0,0.9100,1.7360447809e-01,5.2216172611e-02,2.8826808359e-02,4.7920622768e-02,2.54491e-02
2.0,0.9200,2.0164614901e-01,5.9401861872e-02,3.3518490592e-02,5.6891100174e-02,2.67164e-02
2.0,0.9300,2.3563848600e-01,6.7976602115e-02,3.9195308780e-02,6.7934575513e-02,2.74446e-02
2.0,0.9400,2.7612403600e-01,7.7999814890e-02,4.5947090958e-02,8.1327732738e-02,2.74869e-02
2.0,0.9500,3.2316076102e-01,8.9396871478e-02,5.3787117673e-02,9.7217528941e-02,2.68241e-02
2.0,0.9600,3.7630161870e-01,1.0196806896e-01,6.2649181571e-02,1.1559985726e-01,2.55777e-02
2.0,0.9700,4.3478190696e-01,1.1544748672e-01,7.2416360167e-02,1.3636209875e-01,2.39506e-02
2.0,0.9800,4.9775563397e-01,1.2956716356e-01,8.2957535922e-02,1.5934817029e-01,2.21460e-02
2.0,0.9900,5.6444279295e-01,1.4409366646e-01,9.4150801666e-02,1.8440346046e-01,2.03191e-02
2.0,1.0000,6.3418691043e-01,1.5883952887e-01,1.0589301925e-01,2.1139563681e-01,1.85673e-02
2.0,1.0100,7.0645954786e-01,1.7366084976e-01,1.1810095523e-01,2.4021979493e-01,1.69417e-02
2.0,1.0200,7.8084434205e-01,1.8845008494e-01,1.3070897892e-01,2.7079681782e-01,1.54622e-02
2.0,1.0300,8.5701524428e-01,2.0312810841e-01,1.4366574014e-01,3.0306915755e-01,1.41306e-02
2.0,1.0400,9.3471715737e-01,2.1763745686e-01,1.5693111556e-01,3.3699669247e-01,1.29388e-02
2.0,1.0500,1.0137491754e+00,2.3193683694e-01,1.7047357515e-01,3.7255282197e-01,1.18748e-02
2.0,1.0600,1.0939525191e+00,2.4599709805e-01,1.8426822625e-01,4.0972168348e-01,1.09251e-02
2.0,1.0700,1.1752001264e+00,2.5979804636e-01,1.9829518885e-01,4.4849554157e-01,1.00764e-02
2.0,1.0800,1.2573903702e+00,2.7332630267e-01,2.1253853296e-01,4.8887337592e-01,9.31638e-03
2.0,1.0900,1.3404402726e+00,2.8657344050e-01,2.2698526977e-01,5.3085902931e-01,8.63412e-03
2.0,1.1000,1.4242831286e+00,2.9953495604e-01,2.4162486454e-01,5.7446086187e-01,8.01984e-03
2.0,1.1100,1.5088629465e+00,3.1220903759e-01,2.5644850348e-01,6.1969001212e-01,7.46503e-03
2.0,1.1200,1.5941353800e+00,3.2459625318e-01,2.7144902666e-01,6.6656114024e-01,6.96229e-03
2.0,1.1300,1.6800611785e+00,3.3669849272e-01,2.8662020357e-01,7.1509003960e-01,6.50520e-03
2.0,1.1400,1.7666113656e+00,3.4851927796e-01,3.0195710242e-01,7.6529604357e-01,6.08816e-03
2.0,1.1500,1.8537566395e+00,3.6006247400e-01,3.1745508125e-01,8.1719771857e-01,5.70635e-03
2.0,1.1600,1.9414800471e+00,3.7133340130e-01,3.3311081652e-01,8.7081851714e-01,5.35550e-03
2.0,1.1700,2.0297566504e+00,3.8233677701e-01,3.4892054270e-01,9.2617795959e-01,5.03195e-03
2.0,1.1800,2.1185813904e+00,3.9307918666e-01,3.6488230634e-01,9.8330424264e-01,4.73241e-03
2.0,1.1900,2.2079271723e+00,4.0356530830e-01,3.8099255539e-01,1.0422152229e+00,4.45407e-03
