alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
0.5,0.5500,1.3904045148e-02,1.2612792190e-02,1.2717898791e-03,2.8039824382e-03,1.65712e-03
0.5,0.5600,1.4092817255e-02,1.2748049354e-02,1.3325960924e-03,2.9463383275e-03,1.73436e-03
0.5,0.5700,1.4289414909e-02,1.2889303184e-02,1.3959115349e-03,3.0950872694e-03,1.81457e-03
0.5,0.5800,1.4494237086e-02,1.3036870871e-02,1.4618677870e-03,3.2505742372e-03,1.89787e-03
0.5,0.5900,1.4707712154e-02,1.3191092578e-02,1.5306064421e-03,3.4131697338e-03,1.98443e-03
0.5,0.6000,1.4930300615e-02,1.3352333555e-02,1.6022800266e-03,3.5832721477e-03,2.07439e-03
0.5,0.6100,1.5162498034e-02,1.3520986394e-02,1.6770530124e-03,3.7613103457e-03,2.16793e-03
0.5,0.6200,1.5404838343e-02,1.3697473572e-02,1.7551029471e-03,3.9477465726e-03,2.26523e-03
0.5,0.6300,1.5657897532e-02,1.3882250304e-02,1.8366217152e-03,4.1430796871e-03,2.36648e-03
0.5,0.6400,1.5922297716e-02,1.4075807599e-02,1.9218169308e-03,4.3478487629e-03,2.47189e-03
0.5,0.6500,1.6198711773e-02,1.4278675901e-02,2.0109135227e-03,4.5626371495e-03,2.58168e-03
0.5,0.6600,1.6487868462e-02,1.4491428947e-02,2.1041554830e-03,4.7880770015e-03,2.69610e-03
0.5,0.6700,1.6790558222e-02,1.4714688206e-02,2.2018078452e-03,5.0248543907e-03,2.81540e-03
0.5,0.6800,1.7107639581e-02,1.4949127779e-02,2.3041588949e-03,5.2737150282e-03,2.93987e-03
0.5,0.6900,1.7440046594e-02,1.5195480040e-02,2.4115226823e-03,5.5354707888e-03,3.06981e-03
0.5,0.7000,1.7788797039e-02,1.5454541875e-02,2.5242418396e-03,5.8110070328e-03,3.20554e-03
0.5,0.7100,1.8155001821e-02,1.5727181831e-02,2.6426907870e-03,6.1012909454e-03,3.34741e-03
0.5,0.7200,1.8539875518e-02,1.6014348007e-02,2.7672793356e-03,6.4073809789e-03,3.49581e-03
0.5,0.7300,1.8944748588e-02,1.6317077385e-02,2.8984568462e-03,6.7304376815e-03,3.65115e-03
0.5,0.7400,1.9371080996e-02,1.6636506037e-02,3.0367169019e-03,7.0717359690e-03,3.81389e-03
0.5,0.7500,1.9820478096e-02,1.6973881049e-02,3.1826026968e-03,7.4326792859e-03,3.98450e-03
0.5,0.7600,2.0294708611e-02,1.7330574044e-02,3.3367131892e-03,7.8148157958e-03,4.16351e-03
0.5,0.7700,2.0795725321e-02,1.7708096540e-02,3.4997101462e-03,8.2198570287e-03,4.35151e-03
0.5,0.7800,2.1325689052e-02,1.8108117946e-02,3.6723263195e-03,8.6496994794e-03,4.54911e-03
0.5,0.7900,2.1886996092e-02,1.8532485874e-02,3.8553748112e-03,9.1064495075e-03,4.75701e-03
0.5,0.8000,2.2482310297e-02,1.8983249897e-02,4.0497599779e-03,9.5924523934e-03,4.97594e-03
0.5,0.8100,2.3114600133e-02,1.9462688937e-02,4.2564900705e-03,1.0110326098e-02,5.20671e-03
0.5,0.8200,2.3787181865e-02,1.9973342858e-02,4.4766919125e-03,1.0663000724e-02,5.45021e-03
0.5,0.8300,2.4503770061e-02,2.0518049626e-02,4.7116281291e-03,1.1253764797e-02,5.70741e-03
0.5,0.8400,2.5268536879e-02,2.1099988404e-02,4.9627172725e-03,1.1886319748e-02,5.97935e-03
0.5,0.8500,2.6086181438e-02,2.1722729784e-02,5.2315574229e-03,1.2564844060e-02,6.26719e-03
0.5,0.8600,2.6962011976e-02,2.2390295160e-02,5.5199541002e-03,1.3294069372e-02,6.57216e-03
0.5,0.8700,2.7902042429e-02,2.3107225987e-02,5.8299531164e-03,1.4079370610e-02,6.89563e-03
0.5,0.8800,2.8913107463e-02,2.3878665556e-02,6.1638795354e-03,1.4926873613e-02,7.23907e-03
0.5,0.8900,3.0002998616e-02,2.4710455567e-02,6.5243839516e-03,1.5843583469e-02,7.60405e-03
0.5,0.9000,3.1180626688e-02,2.5609249877e-02,6.9144974667e-03,1.6837538412e-02,7.99228e-03
0.5,0.9100,3.2456215411e-02,2.6582649373e-02,7.3376973152e-03,1.7917994655e-02,8.40557e-03
0.5,0.9200,3.3841532350e-02,2.7639361063e-02,7.7979850680e-03,1.9095648654e-02,8.84582e-03
0.5,0.9300,3.5350165515e-02,2.8789386196e-02,8.2999800403e-03,2.0382905436e-02,9.31500e-03
0.5,0.9400,3.6997852954e-02,3.0044241952e-02,8.8490307296e-03,2.1794201914e-02,9.81511e-03
0.5,0.9500,3.8802876461e-02,3.1417221913e-02,9.4513475921e-03,2.3346397338e-02,1.03481e-02
