Epoch,beta_max/4,beta_max,4beta_max
159,-13.156702,-12.967914,-12.721063
160,-13.154941,-12.965546,-12.716097
161,-13.153315,-12.963154,-12.711792
162,-13.151592,-12.960684,-12.707476
163,-13.149922,-12.958228,-12.702813
164,-13.148163,-12.955918,-12.698026
165,-13.146474,-12.953541,-12.693577
166,-13.144853,-12.951257,-12.688585
167,-13.143151,-12.948865,-12.684297
168,-13.141404,-12.946605,-12.680256
169,-13.139732,-12.944248,-12.676095
170,-13.138005,-12.941990,-12.671797
171,-13.136338,-12.939779,-12.667895
172,-13.134603,-12.937511,-12.663744
173,-13.132926,-12.935258,-12.660710
174,-13.131232,-12.933164,-12.656495
175,-13.129601,-12.930954,-12.653121
176,-13.127869,-12.928703,-12.649210
177,-13.126110,-12.926466,-12.644822
178,-13.124405,-12.924337,-12.641215
179,-13.122675,-12.922217,-12.637351
180,-13.120988,-12.920101,-12.633856
181,-13.119299,-12.917973,-12.629740
182,-13.117579,-12.915895,-12.626026
183,-13.115857,-12.913788,-12.622867
184,-13.114163,-12.911689,-12.620044
185,-13.112382,-12.909599,-12.616556
186,-13.110662,-12.907484,-12.613718
187,-13.108973,-12.905222,-12.609629
188,-13.107337,-12.903122,-12.606835
189,-13.105632,-12.900995,-12.604156
190,-13.103917,-12.898924,-12.601114
191,-13.102240,-12.896825,-12.597979
192,-13.100656,-12.894685,-12.594912
193,-13.098949,-12.892699,-12.591483
194,-13.097288,-12.890715,-12.587717
195,-13.095666,-12.888579,-12.584661
196,-13.093977,-12.886520,-12.581662
197,-13.092356,-12.884483,-12.578272
198,-13.090631,-12.882437,-12.575848
199,-13.088917,-12.880390,-12.572384
200,-13.087291,-12.878403,-12.570492
201,-13.085636,-12.876456,-12.567891
202,-13.083892,-12.874506,-12.565428
203,-13.082226,-12.872596,-12.563051
204,-13.080625,-12.870653,-12.560029
205,-13.078981,-12.868816,-12.556912
206,-13.077374,-12.866860,-12.553050
207,-13.075614,-12.864826,-12.550392
208,-13.073968,-12.862915,-12.547996
209,-13.072309,-12.861017,-12.545200
210,-13.070752,-12.859121,-12.543302
211,-13.069114,-12.857276,-12.540262
212,-13.067393,-12.855432,-12.537552
213,-13.065770,-12.853476,-12.535048
214,-13.064183,-12.851636,-12.532951
215,-13.062484,-12.849916,-12.530574
216,-13.060824,-12.848120,-12.528396
217,-13.059186,-12.846255,-12.526060
218,-13.057494,-12.844281,-12.522990
219,-13.055792,-12.842502,-12.520976
220,-13.054170,-12.840648,-12.518483
221,-13.052459,-12.838727,-12.515632
222,-13.050748,-12.836792,-12.512714
223,-13.049100,-12.834975,-12.510880
224,-13.047497,-12.833054,-12.509256
225,-13.045840,-12.831233,-12.506998
226,-13.044265,-12.829451,-12.505440
227,-13.042621,-12.827656,-12.503680
228,-13.040999,-12.825869,-12.501408
229,-13.039333,-12.824077,-12.499031
230,-13.037715,-12.822321,-12.496263
231,-13.036139,-12.820594,-12.493696
232,-13.034568,-12.818743,-12.491173
233,-13.032884,-12.816941,-12.489340
234,-13.031255,-12.815162,-12.487853
235,-13.029637,-12.813358,-12.485613
236,-13.028029,-12.811610,-12.483066
237,-13.026280,-12.809853,-12.480352
238,-13.024643,-12.808135,-12.478362
239,-13.023081,-12.806402,-12.475557
240,-13.021352,-12.804741,-12.473091
241,-13.019701,-12.803041,-12.470967
242,-13.018132,-12.801335,-12.469885
243,-13.016508,-12.799562,-12.467836
244,-13.014855,-12.797857,-12.466059
245,-13.013293,-12.796181,-12.464704
246,-13.011633,-12.794531,-12.462463
247,-13.010056,-12.792795,-12.461277
248,-13.008488,-12.791120,-12.459090
249,-13.006912,-12.789412,-12.458376
250,-13.005326,-12.787776,-12.456618
251,-13.003710,-12.786123,-12.454610
252,-13.002176,-12.784451,-12.451852
253,-13.000528,-12.782767,-12.450359
254,-12.998927,-12.781242,-12.447747
255,-12.997322,-12.779544,-12.445885
256,-12.995681,-12.777877,-12.444697
257,-12.993980,-12.776200,-12.443540
258,-12.992425,-12.774595,-12.441535
259,-12.990879,-12.772978,-12.440108
260,-12.989370,-12.771283,-12.437887
261,-12.987776,-12.769601,-12.436265
262,-12.986119,-12.768074,-12.434776
