Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-41.837215,-37.951776,-65.035416
2,-27.766285,-26.734983,-51.016338
3,-23.679305,-23.411459,-43.087178
4,-22.460773,-22.393933,-38.360682
5,-22.049293,-22.011454,-35.562820
6,-21.849870,-21.810609,-33.838105
7,-21.708573,-21.658429,-32.702371
8,-21.581031,-21.519907,-31.901696
9,-21.460280,-21.385314,-31.317377
10,-21.337804,-21.259645,-30.814260
11,-21.220335,-21.133349,-30.365175
12,-21.104079,-21.011627,-29.976561
13,-20.990060,-20.892648,-29.636135
14,-20.883935,-20.778375,-29.298009
15,-20.779796,-20.667953,-28.996336
16,-20.681231,-20.566510,-28.742358
17,-20.589278,-20.469211,-28.467260
18,-20.501028,-20.371093,-28.178619
19,-20.413137,-20.278072,-27.942709
20,-20.330229,-20.193713,-27.692448
21,-20.251454,-20.110212,-27.511140
22,-20.180054,-20.035630,-27.270341
23,-20.113431,-19.964731,-27.085352
24,-20.049496,-19.895486,-26.929160
25,-19.984502,-19.828366,-26.774124
26,-19.925137,-19.768880,-26.592297
27,-19.869460,-19.712436,-26.445283
28,-19.814268,-19.654182,-26.328732
29,-19.758986,-19.596915,-26.181141
30,-19.707303,-19.547256,-26.033778
31,-19.662570,-19.499051,-25.868646
32,-19.617940,-19.450401,-25.736717
33,-19.574822,-19.403716,-25.600125
34,-19.533092,-19.362264,-25.506641
35,-19.493176,-19.321968,-25.411862
36,-19.455853,-19.280816,-25.276927
37,-19.422679,-19.239826,-25.167392
38,-19.388614,-19.201076,-25.059312
39,-19.354145,-19.164765,-24.936789
40,-19.326239,-19.134183,-24.817924
41,-19.297272,-19.099580,-24.719014
42,-19.268119,-19.066665,-24.607178
43,-19.239382,-19.038697,-24.487353
44,-19.211473,-19.012015,-24.385572
45,-19.186198,-18.983439,-24.311628
46,-19.162091,-18.955915,-24.195675
47,-19.143542,-18.930409,-24.093137
48,-19.121007,-18.907287,-24.004610
49,-19.098989,-18.884066,-23.867312
50,-19.077412,-18.864218,-23.791471
51,-19.054914,-18.844506,-23.703630
52,-19.036061,-18.825182,-23.600546
53,-19.019228,-18.803742,-23.492689
54,-18.998526,-18.781180,-23.413976
55,-18.979885,-18.759554,-23.322954
56,-18.964136,-18.733420,-23.243664
57,-18.948210,-18.720028,-23.166801
58,-18.929539,-18.701615,-23.056072
59,-18.915985,-18.683891,-22.964612
60,-18.898805,-18.666300,-22.909229
61,-18.885154,-18.649303,-22.835251
62,-18.869739,-18.628902,-22.764325
63,-18.855555,-18.610874,-22.691182
64,-18.838978,-18.595732,-22.615651
65,-18.826774,-18.579367,-22.535851
66,-18.809478,-18.565364,-22.478464
67,-18.800127,-18.549814,-22.382431
68,-18.783973,-18.536129,-22.308173
69,-18.773563,-18.514587,-22.260865
70,-18.759797,-18.501656,-22.189983
71,-18.750874,-18.491526,-22.118941
72,-18.737840,-18.479225,-22.093596
73,-18.726335,-18.464854,-22.045690
74,-18.715210,-18.452673,-21.991689
75,-18.704065,-18.440893,-21.938665
76,-18.691444,-18.432391,-21.875534
77,-18.684734,-18.422585,-21.831431
78,-18.676714,-18.408515,-21.783948
79,-18.667762,-18.394520,-21.728595
80,-18.656704,-18.382295,-21.667706
81,-18.644190,-18.370243,-21.605837
82,-18.637918,-18.366054,-21.546101
83,-18.629470,-18.354007,-21.514945
84,-18.617519,-18.342209,-21.484520
85,-18.608704,-18.327345,-21.432500
86,-18.597198,-18.319649,-21.415883
87,-18.587351,-18.309225,-21.370992
88,-18.582653,-18.295471,-21.339671
89,-18.575204,-18.284885,-21.291933
90,-18.566527,-18.277313,-21.241571
91,-18.556730,-18.266823,-21.224164
92,-18.552007,-18.258445,-21.186780
93,-18.544590,-18.248383,-21.140197
94,-18.534157,-18.240762,-21.089964
95,-18.529716,-18.232948,-21.054255
96,-18.520509,-18.221996,-21.020870
97,-18.510962,-18.212592,-20.971248
98,-18.507928,-18.203392,-20.927880
99,-18.505425,-18.196264,-20.882016
100,-18.492364,-18.189573,-20.860329
101,-18.488181,-18.176802,-20.830820
102,-18.486523,-18.166828,-20.797248
103,-18.478850,-18.158767,-20.751273
104,-18.470841,-18.154584,-20.727121
105,-18.462988,-18.144951,-20.704488
106,-18.458431,-18.135385,-20.644702
107,-18.450861,-18.127242,-20.614226
108,-18.446344,-18.119876,-20.576728
109,-18.440294,-18.111477,-20.532444
110,-18.432619,-18.104591,-20.480226
111,-18.426753,-18.097439,-20.445781
112,-18.419479,-18.089848,-20.411580
113,-18.415379,-18.081072,-20.379948
114,-18.408943,-18.071773,-20.329019
115,-18.402149,-18.066660,-20.319989
116,-18.398433,-18.059775,-20.280609
117,-18.397579,-18.053525,-20.236255
118,-18.394468,-18.046187,-20.194023
119,-18.383624,-18.043708,-20.161797
120,-18.375114,-18.034044,-20.132860
121,-18.374899,-18.027682,-20.110463
122,-18.367374,-18.023882,-20.085379
123,-18.361781,-18.018144,-20.050050
124,-18.355620,-18.008369,-20.007876
125,-18.351042,-18.001171,-19.974361
126,-18.346397,-17.997358,-19.929740
127,-18.341129,-17.988044,-19.891654
128,-18.335903,-17.982640,-19.865886
129,-18.332320,-17.977452,-19.828595
130,-18.328118,-17.971790,-19.803569
131,-18.324020,-17.973207,-19.774084
132,-18.320537,-17.965537,-19.731535
133,-18.314638,-17.959722,-19.717643
134,-18.312448,-17.953350,-19.672477
135,-18.307128,-17.948091,-19.637653
136,-18.302689,-17.943771,-19.612182
137,-18.297348,-17.941195,-19.587030
138,-18.295045,-17.936804,-19.559209
139,-18.290991,-17.929016,-19.516763
140,-18.287874,-17.924640,-19.489588
141,-18.281336,-17.919007,-19.483818
142,-18.280434,-17.912723,-19.459506
143,-18.278005,-17.910667,-19.450709
144,-18.272421,-17.899131,-19.422438
145,-18.274689,-17.897081,-19.385022
146,-18.274049,-17.891819,-19.372104
147,-18.265880,-17.884903,-19.356784
148,-18.265274,-17.880915,-19.311326
149,-18.259623,-17.875261,-19.302390
150,-18.257495,-17.870428,-19.292492
151,-18.254172,-17.861176,-19.267717
152,-18.248729,-17.855702,-19.236968
153,-18.242402,-17.854584,-19.224198
154,-18.240713,-17.847558,-19.205636
155,-18.240539,-17.843229,-19.174298
156,-18.236343,-17.834810,-19.153004
157,-18.234617,-17.830213,-19.147855
158,-18.232382,-17.824446,-19.115714
159,-18.229033,-17.820756,-19.099955
160,-18.229624,-17.815165,-19.067525
161,-18.227433,-17.812780,-19.046166
162,-18.226498,-17.805112,-19.043092
163,-18.221044,-17.802417,-19.023824
164,-18.218631,-17.798842,-19.006935
165,-18.210907,-17.793490,-18.987652
166,-18.211283,-17.789165,-18.964035
167,-18.210702,-17.783968,-18.932568
