alpha,c_initial,beta,epoch,mean_log_likelihood
0.5,0.001,0.46,1170,-2.1552157592329766
0.5,0.001,0.46,1180,-2.15500503907882
0.5,0.001,0.46,1190,-2.1554071563279296
0.5,0.001,0.46,1200,-2.1535861502408626
0.5,0.001,0.46,1210,-2.1553411428336715
0.5,0.001,0.46,1220,-2.155775920526622
0.5,0.001,0.46,1230,-2.154268068479674
0.5,0.001,0.46,1240,-2.1556577949522113
0.5,0.001,0.46,1250,-2.154257050298388
0.5,0.001,0.46,1260,-2.1541846979035864
0.5,0.001,0.46,1270,-2.1557479038308376
0.5,0.001,0.46,1280,-2.1553175657267687
0.5,0.001,0.46,1290,-2.155771415291409
0.5,0.001,0.46,1300,-2.153781737066508
0.5,0.001,0.46,1310,-2.154893062335299
0.5,0.001,0.46,1320,-2.153817526076701
0.5,0.001,0.46,1330,-2.1552398243676247
0.5,0.001,0.46,1340,-2.153878412639711
0.5,0.001,0.46,1350,-2.1535793864992048
0.5,0.001,0.46,1360,-2.1562611603736306
0.5,0.001,0.46,1370,-2.1549662470753708
0.5,0.001,0.46,1380,-2.1545391737279678
0.5,0.001,0.46,1390,-2.1538848722557384
0.5,0.001,0.46,1400,-2.155337379572288
0.5,0.001,0.46,1410,-2.154208248432221
0.5,0.001,0.46,1420,-2.154976702919373
0.5,0.001,0.46,1430,-2.1535332129473406
0.5,0.001,0.46,1440,-2.154887567853189
0.5,0.001,0.46,1450,-2.154654806640184
0.5,0.001,0.46,1460,-2.154213136301128
0.5,0.001,0.46,1470,-2.1536404962218803
0.5,0.001,0.46,1480,-2.1548457481712693
0.5,0.001,0.46,1490,-2.154785217860555
0.5,0.001,0.46,1500,-2.1563782226156
0.5,0.001,0.46,1510,-2.154321878776401
0.5,0.001,0.46,1520,-2.1551220303146867
0.5,0.001,0.46,1530,-2.1540098038132567
0.5,0.001,0.46,1540,-2.153971901580083
0.5,0.001,0.46,1550,-2.15480373750749
0.5,0.001,0.46,1560,-2.154732094349988
0.5,0.001,0.46,1570,-2.154100065471496
0.5,0.001,0.46,1580,-2.153865303726275
0.5,0.001,0.46,1590,-2.1565770483495403
0.5,0.001,0.46,1600,-2.1542608087011765
0.5,0.001,0.46,1610,-2.1542516966446414
0.5,0.001,0.46,1620,-2.153351417781487
0.5,0.001,0.46,1630,-2.155374028645127
0.5,0.001,0.46,1640,-2.1537441050613784
0.5,0.001,0.46,1650,-2.1545641179985977
0.5,0.001,0.46,1660,-2.1531569844338656
0.5,0.001,0.46,1670,-2.1540063046652564
0.5,0.001,0.46,1680,-2.1552532070505976
0.5,0.001,0.46,1690,-2.154044632303218
0.5,0.001,0.46,1700,-2.155726263813306
0.5,0.001,0.46,1710,-2.1538576543877674
0.5,0.001,0.46,1720,-2.1542740245877217
0.5,0.001,0.46,1730,-2.153005922043966
0.5,0.001,0.46,1740,-2.1535307232866994
0.5,0.001,0.46,1750,-2.154139239507997
0.5,0.001,0.46,1760,-2.154806188722214
0.5,0.001,0.46,1770,-2.153480122075079
0.5,0.001,0.46,1780,-2.156190696088233
0.5,0.001,0.46,1790,-2.153546128667557
0.5,0.001,0.46,1800,-2.1531721301099656
0.5,0.001,0.46,1810,-2.1553063977397344
0.5,0.001,0.46,1820,-2.154867765169088
0.5,0.001,0.46,1830,-2.154380775198398
0.5,0.001,0.46,1840,-2.1557874844263294
0.5,0.001,0.46,1850,-2.154550612849262
0.5,0.001,0.46,1860,-2.1542573570131425
0.5,0.001,0.46,1870,-2.1538631959555565
0.5,0.001,0.46,1880,-2.1543798662052915
0.5,0.001,0.46,1890,-2.1549847631741135
0.5,0.001,0.46,1900,-2.155968827705513
0.5,0.001,0.46,1910,-2.153684658416922
0.5,0.001,0.46,1920,-2.153203148345985
0.5,0.001,0.46,1930,-2.154438211028862
0.5,0.001,0.46,1940,-2.1534093763838813
0.5,0.001,0.46,1950,-2.154501646496644
0.5,0.001,0.46,1960,-2.154560846316681
0.5,0.001,0.46,1970,-2.15522993560472
0.5,0.001,0.46,1980,-2.1532480464993293
0.5,0.001,0.46,1990,-2.1539002561596328
0.5,0.001,0.46,2000,-2.155272002701679
0.5,0.001,1.84,0,-7.511795975497117
0.5,0.001,1.84,10,-3.0598137730187394
0.5,0.001,1.84,20,-2.8572362081733815
0.5,0.001,1.84,30,-2.729898262610015
0.5,0.001,1.84,40,-2.6411762802463135
0.5,0.001,1.84,50,-2.575355901575171
0.5,0.001,1.84,60,-2.524540457607869
0.5,0.001,1.84,70,-2.4835614720612607
0.5,0.001,1.84,80,-2.4504287373822145
0.5,0.001,1.84,90,-2.4216549261881024
0.5,0.001,1.84,100,-2.3975862801047083
0.5,0.001,1.84,110,-2.377202857078352
0.5,0.001,1.84,120,-2.3584500805980118
0.5,0.001,1.84,130,-2.3426295616293418
0.5,0.001,1.84,140,-2.328292049491944
0.5,0.001,1.84,150,-2.315589091960997
0.5,0.001,1.84,160,-2.304247952845941
0.5,0.001,1.84,170,-2.2943344059158353
0.5,0.001,1.84,180,-2.284731247680878
0.5,0.001,1.84,190,-2.276221985629672
0.5,0.001,1.84,200,-2.268780491874596
0.5,0.001,1.84,210,-2.2613098827473577
0.5,0.001,1.84,220,-2.255576242245725
0.5,0.001,1.84,230,-2.248808154898266
0.5,0.001,1.84,240,-2.2437471220836045
0.5,0.001,1.84,250,-2.2381604000325686
0.5,0.001,1.84,260,-2.2336815728704384
0.5,0.001,1.84,270,-2.2298204210262544
0.5,0.001,1.84,280,-2.224693359183566
0.5,0.001,1.84,290,-2.2212086326077296
0.5,0.001,1.84,300,-2.2181064533100496
0.5,0.001,1.84,310,-2.2149008023417966
0.5,0.001,1.84,320,-2.21201056972924
0.5,0.001,1.84,330,-2.2079592192738953
0.5,0.001,1.84,340,-2.205967237018849
0.5,0.001,1.84,350,-2.203511124687341
0.5,0.001,1.84,360,-2.200822371775957
0.5,0.001,1.84,370,-2.198500696444061
0.5,0.001,1.84,380,-2.1963803591988467
0.5,0.001,1.84,390,-2.1948337477083992
0.5,0.001,1.84,400,-2.192214694362493
0.5,0.001,1.84,410,-2.1901427382498277
0.5,0.001,1.84,420,-2.1885332460013176
0.5,0.001,1.84,430,-2.18765204262039
0.5,0.001,1.84,440,-2.1871111874107485
0.5,0.001,1.84,450,-2.184515775529077
0.5,0.001,1.84,460,-2.183015420655686
0.5,0.001,1.84,470,-2.1827660188264004
0.5,0.001,1.84,480,-2.1807628570859565
0.5,0.001,1.84,490,-2.1799718301373643
0.5,0.001,1.84,500,-2.1780423215064233
0.5,0.001,1.84,510,-2.1774166793990837
0.5,0.001,1.84,520,-2.176440007082357
0.5,0.001,1.84,530,-2.175031467437642
0.5,0.001,1.84,540,-2.1740975083613647
0.5,0.001,1.84,550,-2.172877975239869
0.5,0.001,1.84,560,-2.1733940790396584
0.5,0.001,1.84,570,-2.171689272595172
0.5,0.001,1.84,580,-2.170233552131318
0.5,0.001,1.84,590,-2.17066674160014
0.5,0.001,1.84,600,-2.170208088076481
0.5,0.001,1.84,610,-2.168064716937891
0.5,0.001,1.84,620,-2.169632433145182
0.5,0.001,1.84,630,-2.167683935204875
0.5,0.001,1.84,640,-2.169073653213585
0.5,0.001,1.84,650,-2.1668895046090877
0.5,0.001,1.84,660,-2.1665497499202884
0.5,0.001,1.84,670,-2.16635117089836
0.5,0.001,1.84,680,-2.165269933339882
0.5,0.001,1.84,690,-2.165502376883389
0.5,0.001,1.84,700,-2.1653143911890145
0.5,0.001,1.84,710,-2.1640174350833408
0.5,0.001,1.84,720,-2.164580340206097
0.5,0.001,1.84,730,-2.1632130532890694
0.5,0.001,1.84,740,-2.162230849873225
0.5,0.001,1.84,750,-2.1620332695903652
0.5,0.001,1.84,760,-2.1625526014657908
0.5,0.001,1.84,770,-2.1615521772736392
0.5,0.001,1.84,780,-2.1610445196755603
0.5,0.001,1.84,790,-2.161576514683594
0.5,0.001,1.84,800,-2.1608064866347205
0.5,0.001,1.84,810,-2.1611503665632488
0.5,0.001,1.84,820,-2.1615791169973293
0.5,0.001,1.84,830,-2.1603745019280667
0.5,0.001,1.84,840,-2.160463613577711
0.5,0.001,1.84,850,-2.159999235757969
0.5,0.001,1.84,860,-2.158900181630211
0.5,0.001,1.84,870,-2.160223193785427
0.5,0.001,1.84,880,-2.161302319540972
0.5,0.001,1.84,890,-2.1594998771484457
0.5,0.001,1.84,900,-2.160372740789401
0.5,0.001,1.84,910,-2.158838013000639
0.5,0.001,1.84,920,-2.158046037942171
0.5,0.001,1.84,930,-2.1585638504535534
0.5,0.001,1.84,940,-2.158884232441189
0.5,0.001,1.84,950,-2.159734983615996
0.5,0.001,1.84,960,-2.157344789255211
0.5,0.001,1.84,970,-2.1572692428205893
0.5,0.001,1.84,980,-2.156858622994871
0.5,0.001,1.84,990,-2.1579189984967484
0.5,0.001,1.84,1000,-2.1570972264367834
0.5,0.001,1.84,1010,-2.1577665760998586
0.5,0.001,1.84,1020,-2.157440207904343
0.5,0.001,1.84,1030,-2.1570161516225537
0.5,0.001,1.84,1040,-2.158218609366453
0.5,0.001,1.84,1050,-2.1579295895388304
0.5,0.001,1.84,1060,-2.1573947501585495
0.5,0.001,1.84,1070,-2.1599405381414845
0.5,0.001,1.84,1080,-2.156989869294451
0.5,0.001,1.84,1090,-2.1561718042269513
0.5,0.001,1.84,1100,-2.1570852467321124
0.5,0.001,1.84,1110,-2.1569922707756435
0.5,0.001,1.84,1120,-2.156494951658797
0.5,0.001,1.84,1130,-2.1553948712455133
0.5,0.001,1.84,1140,-2.1562502865644406
0.5,0.001,1.84,1150,-2.1567194346156864
0.5,0.001,1.84,1160,-2.1558269536483188
0.5,0.001,1.84,1170,-2.1556271665620983
0.5,0.001,1.84,1180,-2.156003047176839
0.5,0.001,1.84,1190,-2.1571093881878785
0.5,0.001,1.84,1200,-2.156322100916663
0.5,0.001,1.84,1210,-2.155252257020123
0.5,0.001,1.84,1220,-2.157457157256462
0.5,0.001,1.84,1230,-2.156027787445177
0.5,0.001,1.84,1240,-2.1570550468972907
0.5,0.001,1.84,1250,-2.154594582510324
0.5,0.001,1.84,1260,-2.1571713863617745
0.5,0.001,1.84,1270,-2.157279331510367
0.5,0.001,1.84,1280,-2.1555038108224323
0.5,0.001,1.84,1290,-2.157547077981837
0.5,0.001,1.84,1300,-2.155659007171348
0.5,0.001,1.84,1310,-2.155502330799111
0.5,0.001,1.84,1320,-2.1550396026437624
0.5,0.001,1.84,1330,-2.155118118224788
0.5,0.001,1.84,1340,-2.1558456167947564
0.5,0.001,1.84,1350,-2.155716604480651
0.5,0.001,1.84,1360,-2.155452491939942
0.5,0.001,1.84,1370,-2.1557853555531308
0.5,0.001,1.84,1380,-2.1564042143205193
0.5,0.001,1.84,1390,-2.1546615270895595
0.5,0.001,1.84,1400,-2.15550874320444
0.5,0.001,1.84,1410,-2.156978447359118
0.5,0.001,1.84,1420,-2.155176113398275
0.5,0.001,1.84,1430,-2.1566527167978613
0.5,0.001,1.84,1440,-2.155348754297306
0.5,0.001,1.84,1450,-2.1546724597412035
0.5,0.001,1.84,1460,-2.155752403520414
0.5,0.001,1.84,1470,-2.1556776105187123
0.5,0.001,1.84,1480,-2.1570230553072776
0.5,0.001,1.84,1490,-2.1553246684381757
0.5,0.001,1.84,1500,-2.1562477241570472
0.5,0.001,1.84,1510,-2.155784742779556
0.5,0.001,1.84,1520,-2.156582206060882
0.5,0.001,1.84,1530,-2.1555647963135116
0.5,0.001,1.84,1540,-2.155803103943649
0.5,0.001,1.84,1550,-2.155427795763689
0.5,0.001,1.84,1560,-2.156815284893277
0.5,0.001,1.84,1570,-2.154407434017581
0.5,0.001,1.84,1580,-2.1566870532715594
0.5,0.001,1.84,1590,-2.155786924569577
0.5,0.001,1.84,1600,-2.1574416002401513
0.5,0.001,1.84,1610,-2.156464007630085
0.5,0.001,1.84,1620,-2.1548998112989963
0.5,0.001,1.84,1630,-2.154731509437271
0.5,0.001,1.84,1640,-2.1549874709298074
0.5,0.001,1.84,1650,-2.155362434112752
0.5,0.001,1.84,1660,-2.1556706596093895
0.5,0.001,1.84,1670,-2.1565631115025874
0.5,0.001,1.84,1680,-2.154980601362078
0.5,0.001,1.84,1690,-2.1556666762999472
0.5,0.001,1.84,1700,-2.1565596443495068
0.5,0.001,1.84,1710,-2.155612319031245
0.5,0.001,1.84,1720,-2.1548534581099825
0.5,0.001,1.84,1730,-2.1547640858040147
0.5,0.001,1.84,1740,-2.1546988366737008
0.5,0.001,1.84,1750,-2.1545742735696716
0.5,0.001,1.84,1760,-2.153339730360045
0.5,0.001,1.84,1770,-2.155976725754986
0.5,0.001,1.84,1780,-2.1546703869806794
0.5,0.001,1.84,1790,-2.155269843703361
0.5,0.001,1.84,1800,-2.1553846347135193
0.5,0.001,1.84,1810,-2.1566475402455536
0.5,0.001,1.84,1820,-2.15577826664736
0.5,0.001,1.84,1830,-2.1558707689220267
0.5,0.001,1.84,1840,-2.155561501459188
0.5,0.001,1.84,1850,-2.155442565309511
0.5,0.001,1.84,1860,-2.155026530531197
0.5,0.001,1.84,1870,-2.1537836350639976
0.5,0.001,1.84,1880,-2.1558298051430542
0.5,0.001,1.84,1890,-2.1552819333105173
0.5,0.001,1.84,1900,-2.1541702992006035
0.5,0.001,1.84,1910,-2.156561934554665
0.5,0.001,1.84,1920,-2.1544178179920372
0.5,0.001,1.84,1930,-2.1560114985454284
0.5,0.001,1.84,1940,-2.157386957063234
0.5,0.001,1.84,1950,-2.1559753074807073
0.5,0.001,1.84,1960,-2.1577415887003912
0.5,0.001,1.84,1970,-2.1562968473018107
0.5,0.001,1.84,1980,-2.154907093275649
0.5,0.001,1.84,1990,-2.155102963731908
0.5,0.001,1.84,2000,-2.155967945632821
0.5,0.001,7.36,0,-44.841466833250664
0.5,0.001,7.36,10,-2.8226316027609233
0.5,0.001,7.36,20,-2.635751504867656
0.5,0.001,7.36,30,-2.555008712463001
0.5,0.001,7.36,40,-2.498982430031912
0.5,0.001,7.36,50,-2.457348706750317
0.5,0.001,7.36,60,-2.4248269080245204
0.5,0.001,7.36,70,-2.397396670951225
0.5,0.001,7.36,80,-2.3746398406789844
0.5,0.001,7.36,90,-2.3550845277458476
0.5,0.001,7.36,100,-2.3383334237181628
0.5,0.001,7.36,110,-2.3236273937478806
0.5,0.001,7.36,120,-2.3099147369664066
0.5,0.001,7.36,130,-2.2991508780317687
0.5,0.001,7.36,140,-2.288906950377661
0.5,0.001,7.36,150,-2.2795704740749976
0.5,0.001,7.36,160,-2.2713846634124217
0.5,0.001,7.36,170,-2.2643575980773885
0.5,0.001,7.36,180,-2.256146924171982
0.5,0.001,7.36,190,-2.2503608555991423
0.5,0.001,7.36,200,-2.2448037355029227
