Epoch,beta_max/4,beta_max,4beta_max
159,-15.361485,-15.338241,-16.464156
160,-15.355050,-15.329396,-16.434867
161,-15.348079,-15.322832,-16.407030
162,-15.340730,-15.318226,-16.378611
163,-15.333544,-15.310034,-16.354380
164,-15.330573,-15.300642,-16.325753
165,-15.325147,-15.292613,-16.297548
166,-15.316191,-15.283449,-16.267113
167,-15.307171,-15.276132,-16.237398
168,-15.300732,-15.271400,-16.212060
169,-15.294636,-15.266956,-16.187860
170,-15.290124,-15.257739,-16.164323
171,-15.285576,-15.247851,-16.141461
172,-15.279716,-15.239251,-16.116306
173,-15.271524,-15.233043,-16.090125
174,-15.261193,-15.225955,-16.066513
175,-15.252764,-15.219360,-16.044420
176,-15.246554,-15.213292,-16.023117
177,-15.239712,-15.208617,-16.001764
178,-15.232910,-15.203582,-15.980093
179,-15.226747,-15.198307,-15.958852
180,-15.221583,-15.194395,-15.937540
181,-15.216801,-15.187977,-15.918593
182,-15.210887,-15.180271,-15.900376
183,-15.205504,-15.176598,-15.883268
184,-15.199085,-15.170321,-15.864451
185,-15.195214,-15.161471,-15.848834
186,-15.186898,-15.153834,-15.830940
187,-15.176925,-15.149631,-15.814616
188,-15.170555,-15.146306,-15.797054
189,-15.164384,-15.140015,-15.779162
190,-15.159094,-15.137225,-15.762664
191,-15.153870,-15.134184,-15.747707
192,-15.146428,-15.131188,-15.730140
193,-15.138036,-15.123902,-15.715060
194,-15.134099,-15.117363,-15.701949
195,-15.130666,-15.110590,-15.687268
196,-15.125515,-15.104077,-15.671236
197,-15.119988,-15.096364,-15.657771
198,-15.113155,-15.088488,-15.643070
199,-15.107149,-15.083088,-15.628156
200,-15.102880,-15.076660,-15.615882
201,-15.098643,-15.071060,-15.603690
202,-15.092569,-15.065088,-15.590974
203,-15.088062,-15.060746,-15.576795
204,-15.081692,-15.054782,-15.565353
205,-15.073503,-15.049946,-15.553702
206,-15.068092,-15.046099,-15.542441
207,-15.062692,-15.040184,-15.528867
208,-15.055860,-15.034995,-15.517141
209,-15.051359,-15.030556,-15.507717
210,-15.044433,-15.025206,-15.496897
211,-15.038605,-15.016147,-15.485490
212,-15.033139,-15.007404,-15.474220
213,-15.025337,-15.000515,-15.464161
214,-15.018968,-14.996200,-15.454712
215,-15.015491,-14.991487,-15.445532
216,-15.010402,-14.983842,-15.432973
217,-15.005272,-14.976276,-15.422631
218,-14.999892,-14.970276,-15.413743
219,-14.994096,-14.964724,-15.404367
220,-14.989228,-14.960633,-15.394353
221,-14.985008,-14.957918,-15.383829
222,-14.979835,-14.954899,-15.372863
223,-14.977164,-14.949332,-15.364175
224,-14.974145,-14.941406,-15.355418
225,-14.971609,-14.934705,-15.346530
226,-14.966254,-14.928425,-15.337974
227,-14.960725,-14.923001,-15.328563
228,-14.953237,-14.916872,-15.318118
229,-14.946384,-14.907290,-15.308833
230,-14.941594,-14.901615,-15.300212
231,-14.936351,-14.894857,-15.291276
232,-14.932955,-14.890290,-15.282293
233,-14.925782,-14.885190,-15.272542
234,-14.919645,-14.881847,-15.261903
235,-14.916767,-14.876850,-15.252552
236,-14.912496,-14.873078,-15.243219
237,-14.905650,-14.869524,-15.234468
238,-14.898786,-14.867571,-15.225142
239,-14.891369,-14.867337,-15.218426
240,-14.884634,-14.865640,-15.212140
241,-14.880959,-14.864551,-15.205785
242,-14.878808,-14.862802,-15.199653
243,-14.876600,-14.855712,-15.191428
244,-14.870471,-14.851152,-15.181020
245,-14.863464,-14.845186,-15.173137
246,-14.853132,-14.839758,-15.166190
247,-14.844178,-14.834434,-15.160438
248,-14.835145,-14.828317,-15.154723
249,-14.828799,-14.824655,-15.146464
250,-14.824262,-14.821691,-15.136366
251,-14.821389,-14.816689,-15.129502
252,-14.817555,-14.812399,-15.122913
253,-14.813440,-14.805867,-15.114559
254,-14.811472,-14.801740,-15.105960
255,-14.808538,-14.796704,-15.098921
256,-14.801558,-14.794540,-15.094524
257,-14.797984,-14.794807,-15.089589
258,-14.793229,-14.790867,-15.083897
259,-14.787970,-14.786574,-15.074224
