Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-45.032951,-39.739062,-59.686153
2,-33.916761,-30.712017,-51.403037
3,-27.696461,-25.659625,-45.308132
4,-24.195956,-22.813625,-40.730401
5,-22.077316,-21.132333,-37.196917
6,-20.721571,-20.078367,-34.341057
7,-19.810029,-19.371464,-32.058691
8,-19.167554,-18.866971,-30.239861
9,-18.680928,-18.476690,-28.795111
10,-18.297734,-18.170101,-27.646545
11,-17.986753,-17.914621,-26.779953
12,-17.715883,-17.707727,-26.099401
13,-17.489772,-17.532171,-25.553099
14,-17.308063,-17.387373,-25.111413
15,-17.150675,-17.261822,-24.726584
16,-17.023022,-17.163067,-24.398699
17,-16.920972,-17.088141,-24.125387
18,-16.840468,-17.028802,-23.908776
19,-16.773390,-16.987340,-23.743748
20,-16.717841,-16.960122,-23.583699
21,-16.679536,-16.922117,-23.438676
22,-16.646754,-16.902735,-23.297275
23,-16.623456,-16.888647,-23.195749
24,-16.609817,-16.874102,-23.065597
25,-16.605061,-16.866838,-22.955239
26,-16.604060,-16.864479,-22.864535
27,-16.605276,-16.863963,-22.768146
28,-16.610057,-16.864339,-22.665211
29,-16.624315,-16.869311,-22.595515
30,-16.636824,-16.878725,-22.521819
31,-16.649828,-16.895313,-22.416991
32,-16.657652,-16.897755,-22.335937
33,-16.663139,-16.895250,-22.266862
34,-16.676115,-16.898683,-22.181480
35,-16.692210,-16.905119,-22.098177
36,-16.704469,-16.915626,-22.032021
37,-16.714992,-16.930906,-21.959103
38,-16.726688,-16.936104,-21.881470
39,-16.733039,-16.941305,-21.795554
40,-16.737442,-16.952214,-21.713819
41,-16.753154,-16.965795,-21.641196
42,-16.763265,-16.968895,-21.581253
43,-16.772143,-16.974294,-21.527904
44,-16.781209,-16.978142,-21.480829
45,-16.787670,-16.991260,-21.417556
46,-16.795918,-16.997242,-21.359173
47,-16.799153,-16.998341,-21.304739
48,-16.805008,-17.002245,-21.233824
49,-16.813821,-17.002970,-21.169318
50,-16.820256,-17.007742,-21.121700
51,-16.824291,-17.007693,-21.064446
52,-16.828816,-17.018108,-21.006288
53,-16.829678,-17.014110,-20.964920
54,-16.826207,-17.023343,-20.921719
55,-16.830491,-17.019737,-20.879029
56,-16.831774,-17.021908,-20.823714
57,-16.837958,-17.016354,-20.770611
58,-16.836158,-17.019306,-20.729748
59,-16.834193,-17.021794,-20.691053
60,-16.838110,-17.020421,-20.657170
61,-16.836553,-17.020722,-20.622551
62,-16.839626,-17.018035,-20.577987
63,-16.839825,-17.016589,-20.525719
64,-16.846744,-17.014315,-20.483931
65,-16.849727,-17.012075,-20.447650
66,-16.848183,-17.007275,-20.422147
67,-16.845126,-17.004577,-20.388073
68,-16.845466,-17.004402,-20.349667
69,-16.840349,-17.004716,-20.312235
70,-16.851634,-17.003307,-20.268944
71,-16.850673,-16.998551,-20.225989
72,-16.842791,-16.998339,-20.190008
73,-16.835436,-16.997162,-20.159636
74,-16.839397,-16.994705,-20.124083
75,-16.847999,-16.994004,-20.089089
76,-16.848929,-16.992635,-20.071340
77,-16.843738,-16.994315,-20.038352
78,-16.846895,-16.997716,-19.988952
79,-16.839741,-16.993174,-19.944434
80,-16.843606,-16.997262,-19.905040
81,-16.835228,-16.994419,-19.881339
82,-16.828553,-16.984170,-19.853666
83,-16.834127,-16.977259,-19.820042
84,-16.827539,-16.962833,-19.788572
85,-16.826516,-16.970356,-19.754010
86,-16.831944,-16.959098,-19.742332
87,-16.822698,-16.956137,-19.700374
88,-16.816820,-16.954557,-19.675114
89,-16.812879,-16.942764,-19.656297
90,-16.807599,-16.940369,-19.624795
91,-16.805818,-16.936771,-19.600658
92,-16.811839,-16.945088,-19.570356
93,-16.804797,-16.946533,-19.551802
94,-16.808647,-16.939090,-19.526788
95,-16.808191,-16.939914,-19.494444
96,-16.807145,-16.934270,-19.458330
97,-16.800470,-16.935808,-19.424274
98,-16.804073,-16.939980,-19.393706
99,-16.793754,-16.926722,-19.374609
100,-16.798298,-16.930758,-19.349179
101,-16.791085,-16.932803,-19.328582
102,-16.793500,-16.939828,-19.293657
103,-16.792948,-16.943298,-19.273804
104,-16.792857,-16.928294,-19.248562
105,-16.782290,-16.924831,-19.224395
106,-16.783107,-16.920074,-19.190907
107,-16.779078,-16.925093,-19.166289
108,-16.782907,-16.928192,-19.159050
109,-16.787306,-16.927557,-19.146379
110,-16.788634,-16.913166,-19.124947
111,-16.787055,-16.913955,-19.105600
112,-16.787171,-16.908003,-19.093498
113,-16.789120,-16.914834,-19.063506
114,-16.787784,-16.907974,-19.044147
115,-16.784512,-16.913347,-19.025588
116,-16.782963,-16.913917,-19.001839
117,-16.773377,-16.900509,-18.982337
118,-16.769580,-16.890374,-18.974583
119,-16.769156,-16.899870,-18.955055
120,-16.764591,-16.895506,-18.945454
121,-16.765609,-16.892445,-18.918187
122,-16.761909,-16.885646,-18.887086
123,-16.754868,-16.884791,-18.853529
124,-16.747811,-16.875719,-18.836563
125,-16.753541,-16.875502,-18.823936
126,-16.745866,-16.881453,-18.809475
127,-16.740349,-16.871775,-18.786690
128,-16.739133,-16.873792,-18.770139
129,-16.732477,-16.873150,-18.760637
130,-16.734391,-16.882642,-18.752894
131,-16.734557,-16.881126,-18.729471
132,-16.731909,-16.880803,-18.725314
133,-16.732994,-16.882194,-18.709690
134,-16.734851,-16.875466,-18.679959
135,-16.733083,-16.867738,-18.665767
136,-16.726158,-16.862257,-18.652851
137,-16.729260,-16.860079,-18.635750
138,-16.723833,-16.864898,-18.620900
139,-16.723842,-16.855803,-18.607077
140,-16.726264,-16.857165,-18.601719
141,-16.725887,-16.853101,-18.593834
142,-16.724839,-16.862591,-18.571853
143,-16.717753,-16.856613,-18.556310
144,-16.723264,-16.849427,-18.552040
145,-16.724244,-16.844340,-18.534120
146,-16.718620,-16.841887,-18.526762
147,-16.710966,-16.846264,-18.514098
148,-16.713249,-16.846978,-18.502190
149,-16.709982,-16.842718,-18.490121
150,-16.715880,-16.837604,-18.473633
151,-16.716884,-16.835278,-18.467543
152,-16.717886,-16.835494,-18.450947
153,-16.711097,-16.835563,-18.448961
154,-16.706051,-16.833429,-18.433925
155,-16.709144,-16.820461,-18.418173
156,-16.704755,-16.814024,-18.409413
157,-16.710576,-16.813714,-18.393213
158,-16.715164,-16.817182,-18.382129
159,-16.715429,-16.818895,-18.361914
160,-16.712665,-16.819303,-18.359223
161,-16.708973,-16.824074,-18.351128
162,-16.710479,-16.825670,-18.341260
163,-16.708616,-16.818539,-18.335445
164,-16.704307,-16.819738,-18.315155
165,-16.700530,-16.820213,-18.297292
166,-16.696981,-16.818357,-18.296960
167,-16.699322,-16.812641,-18.285100
168,-16.688158,-16.807928,-18.281567
169,-16.681042,-16.810139,-18.266953
170,-16.697627,-16.809039,-18.258175
171,-16.698265,-16.810034,-18.242947
172,-16.692542,-16.804827,-18.226280
173,-16.692906,-16.801360,-18.218927
174,-16.682988,-16.795749,-18.204100
175,-16.686216,-16.791129,-18.194296
176,-16.689504,-16.794087,-18.190446
177,-16.688114,-16.790721,-18.176007
178,-16.683736,-16.794510,-18.162647
179,-16.678827,-16.793833,-18.157474
180,-16.677580,-16.790065,-18.151585
181,-16.675600,-16.782371,-18.151657
182,-16.670931,-16.784956,-18.142890
183,-16.669095,-16.781854,-18.138388
184,-16.669074,-16.774466,-18.122147
185,-16.655874,-16.782636,-18.118516
186,-16.658281,-16.785273,-18.115801
187,-16.663122,-16.791407,-18.108557
188,-16.663003,-16.785432,-18.088473
189,-16.665990,-16.777569,-18.086617
190,-16.656687,-16.777312,-18.076826
191,-16.660603,-16.786144,-18.082771
192,-16.665375,-16.778337,-18.081900
193,-16.668969,-16.777954,-18.067304
194,-16.666608,-16.776704,-18.053518
195,-16.661061,-16.772894,-18.051410
196,-16.666270,-16.779194,-18.034668
197,-16.661796,-16.781986,-18.032840
198,-16.666163,-16.772236,-18.026239
199,-16.657418,-16.766870,-18.014870
200,-16.665144,-16.764752,-18.017492
201,-16.660148,-16.771178,-18.011970
202,-16.659429,-16.768260,-17.998520
203,-16.658322,-16.771598,-17.990038
204,-16.653181,-16.770095,-17.980748
205,-16.646149,-16.769777,-17.973499
206,-16.642991,-16.771247,-17.975133
207,-16.635115,-16.767055,-17.961700
208,-16.643532,-16.767177,-17.953711
209,-16.642368,-16.767372,-17.948763
210,-16.642795,-16.771968,-17.942856
211,-16.637005,-16.771393,-17.936579
212,-16.633202,-16.773351,-17.925829
213,-16.633671,-16.777718,-17.918927
214,-16.643124,-16.780773,-17.910172
215,-16.645471,-16.770867,-17.909765
216,-16.642452,-16.772871,-17.907023
217,-16.654351,-16.773559,-17.899865
218,-16.662867,-16.767078,-17.887946
219,-16.661383,-16.771867,-17.882950
220,-16.656207,-16.771360,-17.871464
221,-16.647822,-16.754704,-17.858482
222,-16.647020,-16.759660,-17.857883
223,-16.644173,-16.762567,-17.858696
224,-16.647516,-16.763651,-17.856253
225,-16.642134,-16.760155,-17.852346
226,-16.647931,-16.760896,-17.847674
227,-16.639874,-16.758966,-17.841938
228,-16.639047,-16.752436,-17.830785
229,-16.646207,-16.750467,-17.828725
230,-16.644599,-16.749679,-17.824606
231,-16.647315,-16.744042,-17.817324
232,-16.644811,-16.742484,-17.806786
233,-16.639474,-16.736226,-17.809231
234,-16.642551,-16.749228,-17.800495
235,-16.640354,-16.744257,-17.785519
236,-16.640088,-16.742961,-17.783777
237,-16.639651,-16.739622,-17.781214
238,-16.634604,-16.742312,-17.777671
239,-16.637100,-16.735482,-17.773005
240,-16.636074,-16.738906,-17.771032
241,-16.633096,-16.734651,-17.766158
242,-16.638613,-16.730682,-17.768574
243,-16.627745,-16.730779,-17.757954
244,-16.626896,-16.726299,-17.755940
245,-16.625100,-16.722431,-17.744356
246,-16.629430,-16.722974,-17.741835
247,-16.630810,-16.724592,-17.735487
248,-16.631082,-16.732239,-17.723200
249,-16.630922,-16.734556,-17.723294
250,-16.636178,-16.730899,-17.704743
251,-16.636909,-16.727964,-17.701759
252,-16.633648,-16.727386,-17.693474
253,-16.630711,-16.728590,-17.702214
254,-16.637057,-16.738590,-17.701651
255,-16.639273,-16.722442,-17.692498
256,-16.636445,-16.730566,-17.687193
257,-16.637882,-16.727301,-17.689299
258,-16.637509,-16.721271,-17.684947
259,-16.642329,-16.724553,-17.684105
260,-16.636550,-16.727481,-17.677953
261,-16.637286,-16.737058,-17.670946
262,-16.635480,-16.743407,-17.662020
263,-16.638225,-16.744051,-17.665721
264,-16.630595,-16.740577,-17.663030
265,-16.639329,-16.735930,-17.662526
266,-16.640011,-16.734689,-17.654188
267,-16.644116,-16.727705,-17.643959
268,-16.641430,-16.733372,-17.638114
269,-16.632644,-16.728067,-17.629900
270,-16.631435,-16.723303,-17.632098
271,-16.627714,-16.718587,-17.629113
272,-16.630252,-16.718901,-17.622483
273,-16.631811,-16.711259,-17.619600
274,-16.632492,-16.717624,-17.618353
275,-16.625966,-16.710904,-17.610902
276,-16.623513,-16.711372,-17.598348
277,-16.622950,-16.710652,-17.599639
278,-16.632663,-16.707265,-17.591376
279,-16.633736,-16.707585,-17.590215
280,-16.637196,-16.706918,-17.580801
281,-16.630758,-16.707225,-17.577132
282,-16.621845,-16.698449,-17.572098
283,-16.620352,-16.699317,-17.571352
284,-16.618367,-16.704313,-17.571767
285,-16.614045,-16.706324,-17.560941
286,-16.605385,-16.712273,-17.549784
287,-16.601513,-16.716286,-17.541332
288,-16.605889,-16.723204,-17.546681
289,-16.612790,-16.717553,-17.545116
290,-16.629648,-16.710705,-17.537720
291,-16.628897,-16.718277,-17.529812
292,-16.629437,-16.716208,-17.524793
293,-16.623401,-16.719160,-17.530102
294,-16.624395,-16.713828,-17.518821
