Epoch,chi_Mean_0.2775,chi_Mean_1.11,chi_Mean_4.44
1,-66.049624,-58.736983,-68.990100
2,-45.721923,-42.233022,-55.566961
3,-36.421428,-34.682874,-47.565933
4,-31.911445,-31.075929,-42.466338
5,-29.512596,-29.203864,-39.021093
6,-28.080335,-28.098628,-36.758490
7,-27.121450,-27.329810,-35.368812
8,-26.378488,-26.741762,-34.556735
9,-25.796009,-26.251321,-34.015944
10,-25.300196,-25.797058,-33.614833
11,-24.867677,-25.406454,-33.343377
12,-24.513161,-25.048416,-33.119269
13,-24.164263,-24.719562,-32.969075
14,-23.868050,-24.421415,-32.786024
15,-23.589934,-24.176597,-32.655984
16,-23.361253,-23.936417,-32.544909
17,-23.132707,-23.709677,-32.441577
18,-22.915471,-23.537689,-32.365148
19,-22.728818,-23.363311,-32.254410
20,-22.565898,-23.216385,-32.158730
21,-22.420823,-23.071885,-32.077198
22,-22.298563,-22.952737,-31.976366
23,-22.175995,-22.828226,-31.926846
24,-22.074348,-22.723922,-31.837197
25,-21.972096,-22.617634,-31.772720
26,-21.881511,-22.534164,-31.655183
27,-21.795317,-22.476924,-31.538965
28,-21.719891,-22.410123,-31.437930
29,-21.653845,-22.349186,-31.360806
30,-21.586759,-22.294151,-31.260091
31,-21.522858,-22.236959,-31.180263
32,-21.472634,-22.198093,-31.104665
33,-21.430316,-22.146599,-30.988388
34,-21.389029,-22.085745,-30.905220
35,-21.345018,-22.055880,-30.799344
36,-21.308391,-22.045652,-30.727138
37,-21.275615,-21.999046,-30.630249
38,-21.234827,-21.966301,-30.562778
39,-21.213079,-21.958769,-30.470370
40,-21.193736,-21.930624,-30.380912
41,-21.171757,-21.912126,-30.324915
42,-21.133873,-21.887164,-30.247245
43,-21.108446,-21.883906,-30.160171
44,-21.078090,-21.861516,-30.081084
45,-21.055215,-21.837732,-29.939329
46,-21.037861,-21.828502,-29.855233
47,-21.015769,-21.801201,-29.775770
48,-21.000946,-21.786528,-29.711669
49,-20.982488,-21.755415,-29.639437
50,-20.955967,-21.754308,-29.587603
51,-20.931857,-21.738106,-29.506667
52,-20.919842,-21.732149,-29.420311
53,-20.913105,-21.722032,-29.362125
54,-20.908906,-21.717041,-29.306537
55,-20.900974,-21.706990,-29.259217
56,-20.888778,-21.695864,-29.197827
57,-20.877357,-21.690203,-29.106615
58,-20.867810,-21.674976,-29.035872
59,-20.856691,-21.668734,-28.973938
60,-20.846960,-21.659051,-28.943853
61,-20.851961,-21.656466,-28.868353
62,-20.824003,-21.656999,-28.838989
63,-20.809003,-21.631413,-28.794690
64,-20.811025,-21.633829,-28.727254
65,-20.802349,-21.617582,-28.669182
66,-20.804436,-21.610136,-28.612387
67,-20.797876,-21.592557,-28.571406
68,-20.789239,-21.593433,-28.509842
69,-20.768397,-21.561971,-28.473411
