0.5,-0.001,0.1,9.76160e-10,0.00084,0.25058,0.00084,0.00001,1.00167,0.50058,0.00083,0.00334,0.02119
0.5,-0.001,0.2,2.08406e-08,0.00340,0.25311,0.00337,0.00009,1.00674,0.50309,0.00335,0.01342,0.02236
0.5,-0.001,0.3,1.12058e-07,0.00784,0.25739,0.00772,0.00047,1.01539,0.50731,0.00761,0.03046,0.02440
0.5,-0.001,0.4,3.67501e-07,0.01444,0.26353,0.01405,0.00154,1.02794,0.51326,0.01369,0.05482,0.02743
0.5,-0.001,0.5,9.28032e-07,0.02361,0.27168,0.02264,0.00394,1.04483,0.52099,0.02171,0.08707,0.03164
0.5,-0.001,0.6,1.99105e-06,0.03596,0.28204,0.03384,0.00863,1.06670,0.53057,0.03183,0.12800,0.03723
0.5,-0.001,0.7,3.81530e-06,0.05229,0.29483,0.04816,0.01708,1.09437,0.54202,0.04427,0.17875,0.04446
0.5,-0.001,0.8,6.71174e-06,0.07371,0.31032,0.06620,0.03145,1.12887,0.55537,0.05924,0.24083,0.05354
0.5,-0.001,0.9,1.10026e-05,0.10159,0.32872,0.08875,0.05486,1.17144,0.57054,0.07702,0.31629,0.06444
0.5,-0.001,1.0,1.69281e-05,0.13763,0.35017,0.11672,0.09175,1.22348,0.58737,0.09789,0.40783,0.07657
0.5,-0.001,1.1,2.44969e-05,0.18373,0.37462,0.15110,0.14821,1.28643,0.60555,0.12212,0.51886,0.08802
0.5,-0.001,1.2,3.33362e-05,0.24178,0.40170,0.19281,0.23211,1.36157,0.62457,0.14990,0.65355,0.09428
0.5,-0.001,1.3,4.26605e-05,0.31335,0.43071,0.24263,0.35304,1.44975,0.64379,0.18133,0.81669,0.08609
0.5,-0.001,1.4,5.14563e-05,0.39936,0.46069,0.30098,0.52184,1.55126,0.66252,0.21642,1.01349,0.04645
0.5,-0.001,1.5,5.88142e-05,0.49999,0.49054,0.36790,0.74998,1.66576,0.68013,0.25505,1.24932,-0.05315
0.5,-0.001,1.6,6.41960e-05,0.61468,0.51929,0.44312,1.04906,1.79246,0.69617,0.29703,1.52957,-0.25725
0.5,-0.001,1.7,6.74927e-05,0.74248,0.54620,0.52617,1.43051,1.93037,0.71040,0.34217,1.85959,-0.63154
0.5,-0.001,1.8,6.89114e-05,0.88225,0.57085,0.61652,1.90565,2.07850,0.72275,0.39029,2.24478,-1.26879
