Epoch,chi_Mean_0.25,chi_Mean_1.0,chi_Mean_4.0
1,-26.904417,-25.010194,-30.749737
2,-18.656481,-18.219123,-19.837381
3,-17.528030,-17.161978,-17.280136
4,-17.260415,-16.922297,-16.675560
5,-17.142988,-16.844774,-16.588600
6,-17.063199,-16.807787,-16.584178
7,-16.986509,-16.766039,-16.567570
8,-16.919227,-16.726991,-16.539479
9,-16.858669,-16.699671,-16.533901
10,-16.806021,-16.666682,-16.562246
11,-16.761156,-16.634642,-16.558132
12,-16.712891,-16.608273,-16.562784
13,-16.674298,-16.588555,-16.575923
14,-16.635800,-16.566646,-16.571747
15,-16.596274,-16.541409,-16.578418
16,-16.564284,-16.520240,-16.583257
17,-16.538885,-16.496713,-16.587549
18,-16.517061,-16.476441,-16.591577
19,-16.498790,-16.456868,-16.608272
20,-16.476727,-16.450356,-16.621243
21,-16.454441,-16.437952,-16.622808
22,-16.426982,-16.417930,-16.631362
23,-16.413962,-16.404938,-16.621827
24,-16.402137,-16.389729,-16.635389
25,-16.390767,-16.379263,-16.625015
26,-16.376007,-16.366533,-16.626151
27,-16.356440,-16.357231,-16.623635
28,-16.343697,-16.342857,-16.626527
29,-16.328292,-16.337980,-16.630861
30,-16.312196,-16.329358,-16.614713
31,-16.295924,-16.317721,-16.618454
32,-16.283502,-16.305455,-16.625068
33,-16.263234,-16.294854,-16.616489
34,-16.253723,-16.294492,-16.617384
35,-16.247606,-16.290267,-16.603170
36,-16.234510,-16.281963,-16.608249
37,-16.223179,-16.269046,-16.599470
38,-16.210227,-16.261487,-16.582748
39,-16.204431,-16.254322,-16.582909
40,-16.201102,-16.248335,-16.570257
41,-16.199841,-16.230525,-16.564283
42,-16.186643,-16.218229,-16.551140
43,-16.175502,-16.204516,-16.552909
44,-16.158077,-16.203554,-16.552802
45,-16.151056,-16.196253,-16.544681
46,-16.135648,-16.191692,-16.532466
47,-16.123753,-16.180360,-16.529340
48,-16.115669,-16.168853,-16.519408
49,-16.101001,-16.152669,-16.496588
50,-16.093322,-16.141700,-16.493250
51,-16.091236,-16.135110,-16.485140
52,-16.076238,-16.127719,-16.475664
53,-16.067820,-16.112250,-16.467111
54,-16.057800,-16.105616,-16.452617
55,-16.045953,-16.095995,-16.444568
56,-16.036794,-16.089157,-16.435305
57,-16.024525,-16.079863,-16.423855
58,-16.012590,-16.067782,-16.419651
59,-15.998544,-16.057234,-16.411579
60,-15.987806,-16.048087,-16.404866
61,-15.971326,-16.035022,-16.389544
62,-15.966947,-16.028403,-16.385629
63,-15.966159,-16.013478,-16.370692
64,-15.960237,-16.001037,-16.360930
65,-15.952969,-15.986690,-16.349870
66,-15.940079,-15.978934,-16.340710
67,-15.929273,-15.971094,-16.335158
68,-15.917959,-15.968509,-16.327623
69,-15.914699,-15.955181,-16.313966
70,-15.908532,-15.940924,-16.301204
71,-15.894061,-15.942294,-16.299769
72,-15.890766,-15.934369,-16.293769
73,-15.878684,-15.920892,-16.277896
74,-15.871913,-15.911208,-16.268572
75,-15.864640,-15.903761,-16.263730
76,-15.862370,-15.888856,-16.259935
77,-15.853879,-15.886372,-16.252618
78,-15.847585,-15.874013,-16.245584
79,-15.834592,-15.864452,-16.237131
80,-15.827524,-15.858150,-16.228276
81,-15.816424,-15.846786,-16.208005
82,-15.806110,-15.845095,-16.208034
83,-15.793455,-15.830167,-16.200839
84,-15.792220,-15.830982,-16.189038
85,-15.776650,-15.820388,-16.182979
86,-15.776388,-15.809688,-16.168503
87,-15.762401,-15.796835,-16.159324
88,-15.750254,-15.795446,-16.150295
89,-15.745601,-15.784277,-16.140284
90,-15.740041,-15.786285,-16.136812
91,-15.728350,-15.774448,-16.124342
92,-15.716620,-15.762032,-16.121746
93,-15.709150,-15.757257,-16.115872
94,-15.698752,-15.747609,-16.112101
95,-15.693951,-15.740118,-16.105625
96,-15.685864,-15.729642,-16.100298
97,-15.686004,-15.721191,-16.087280
98,-15.680294,-15.715871,-16.081923
99,-15.676241,-15.713980,-16.070390
100,-15.665087,-15.714306,-16.069405
101,-15.656289,-15.708121,-16.060378
102,-15.652379,-15.699705,-16.055075
103,-15.650307,-15.701515,-16.046893
104,-15.637642,-15.693638,-16.039409
105,-15.628560,-15.690892,-16.029127
106,-15.629690,-15.686143,-16.023848
107,-15.628111,-15.682332,-16.011935
108,-15.612260,-15.673471,-16.008161
109,-15.603232,-15.666675,-16.006615
110,-15.593754,-15.655409,-15.994530
111,-15.588985,-15.645264,-15.985317
112,-15.581445,-15.644272,-15.973911
113,-15.574417,-15.634943,-15.970364
114,-15.570207,-15.628719,-15.966719
115,-15.564846,-15.617716,-15.968787
116,-15.562801,-15.617122,-15.964643
117,-15.554956,-15.603181,-15.962295
118,-15.551783,-15.599036,-15.954125
119,-15.547142,-15.598261,-15.954985
120,-15.548856,-15.587734,-15.937758
121,-15.544154,-15.590704,-15.935303
122,-15.528411,-15.581402,-15.936865
123,-15.518400,-15.572415,-15.920792
124,-15.512411,-15.570631,-15.917248
125,-15.519843,-15.560929,-15.916169
126,-15.510031,-15.554396,-15.918061
127,-15.500564,-15.547343,-15.913593
128,-15.501614,-15.548938,-15.904658
129,-15.488766,-15.546138,-15.892588
130,-15.486527,-15.542545,-15.884482
131,-15.476657,-15.536312,-15.883521
132,-15.480203,-15.525738,-15.870380
133,-15.468369,-15.525293,-15.869052
134,-15.464374,-15.515382,-15.864289
135,-15.464946,-15.511834,-15.862512
136,-15.457147,-15.507519,-15.860787
137,-15.455230,-15.505748,-15.853514
138,-15.454030,-15.499252,-15.842290
139,-15.458851,-15.500647,-15.848717
140,-15.455713,-15.493396,-15.839023
141,-15.444667,-15.488855,-15.831997
142,-15.444676,-15.484310,-15.831105
143,-15.439043,-15.478681,-15.827534
144,-15.431206,-15.473597,-15.826600
145,-15.427285,-15.468661,-15.818741
146,-15.419624,-15.470367,-15.817398
147,-15.418026,-15.468373,-15.816614
148,-15.411204,-15.470684,-15.809778
149,-15.419215,-15.478516,-15.810250
150,-15.415310,-15.480008,-15.807531
151,-15.417648,-15.478387,-15.804043
152,-15.411947,-15.473976,-15.797662
153,-15.411766,-15.464583,-15.796616
154,-15.407618,-15.463142,-15.793572
155,-15.411128,-15.464461,-15.786918
156,-15.414287,-15.457940,-15.787342
157,-15.409555,-15.454375,-15.784351
158,-15.400953,-15.456982,-15.781715
159,-15.399348,-15.461432,-15.784885
160,-15.388787,-15.453496,-15.780693
161,-15.385776,-15.449304,-15.780175
162,-15.385641,-15.437035,-15.776254
163,-15.381858,-15.432316,-15.769461
164,-15.370640,-15.440381,-15.763798
165,-15.362758,-15.441435,-15.764105
166,-15.358548,-15.439259,-15.759588
167,-15.360461,-15.441527,-15.754228
168,-15.363919,-15.435903,-15.748088
169,-15.364068,-15.432969,-15.741866
170,-15.368203,-15.426603,-15.740232
171,-15.358479,-15.421873,-15.740585
172,-15.356428,-15.417160,-15.744307
173,-15.359169,-15.416528,-15.748488
174,-15.357939,-15.418295,-15.748221
175,-15.364465,-15.417360,-15.744139
176,-15.363211,-15.421506,-15.743428
177,-15.367986,-15.426612,-15.738326
178,-15.378905,-15.419366,-15.736340
179,-15.366603,-15.419870,-15.725561
180,-15.371659,-15.416262,-15.726510
181,-15.372758,-15.413242,-15.722998
182,-15.370267,-15.411085,-15.724293
183,-15.371516,-15.411977,-15.722725
184,-15.368565,-15.411791,-15.722856
185,-15.368174,-15.414264,-15.726678
186,-15.355152,-15.419588,-15.726905
187,-15.357064,-15.416277,-15.720182
188,-15.357040,-15.422390,-15.721637
189,-15.359292,-15.420504,-15.719952
190,-15.358934,-15.423220,-15.716172
191,-15.356933,-15.416337,-15.725967
192,-15.350315,-15.416568,-15.723260
193,-15.355018,-15.415038,-15.716384
194,-15.354265,-15.407746,-15.713169
195,-15.353351,-15.417874,-15.710531
196,-15.345466,-15.408920,-15.708112
197,-15.341659,-15.414508,-15.707661
198,-15.342562,-15.412174,-15.705907
199,-15.340112,-15.414726,-15.698626
200,-15.342664,-15.419196,-15.699243
201,-15.355934,-15.417860,-15.696270
202,-15.353332,-15.423232,-15.688049
203,-15.350340,-15.413861,-15.694528
204,-15.342784,-15.405777,-15.695880
205,-15.337279,-15.402807,-15.700050
206,-15.340855,-15.400595,-15.691136
207,-15.343789,-15.403390,-15.692490
208,-15.347907,-15.403634,-15.687768
209,-15.349045,-15.399503,-15.688740
210,-15.348858,-15.397538,-15.697069
211,-15.348453,-15.398946,-15.698081
212,-15.350519,-15.392215,-15.695950
213,-15.349429,-15.390625,-15.694916
214,-15.345791,-15.402215,-15.690613
215,-15.342357,-15.395227,-15.688373
216,-15.340942,-15.405406,-15.682481
217,-15.348858,-15.399543,-15.682954
218,-15.334876,-15.397489,-15.681205
219,-15.330688,-15.390132,-15.676107
220,-15.334729,-15.392278,-15.675637
221,-15.335056,-15.402017,-15.667140
222,-15.329821,-15.406505,-15.672649
223,-15.328986,-15.405240,-15.666520
224,-15.326665,-15.416078,-15.671461
225,-15.323588,-15.412425,-15.667787
226,-15.330462,-15.414605,-15.670211
227,-15.331458,-15.415789,-15.667341
228,-15.330986,-15.409342,-15.662833
229,-15.326529,-15.413633,-15.663925
230,-15.330385,-15.413006,-15.664273
231,-15.333386,-15.408358,-15.661925
232,-15.333907,-15.404665,-15.656664
233,-15.339773,-15.400046,-15.662308
234,-15.341100,-15.397862,-15.658312
235,-15.344894,-15.402421,-15.660086
236,-15.344868,-15.411296,-15.659824
237,-15.350275,-15.413311,-15.653281
238,-15.353857,-15.413118,-15.652115
239,-15.355157,-15.410436,-15.653225
240,-15.352469,-15.414166,-15.649750
241,-15.349550,-15.413177,-15.651796
242,-15.349845,-15.406091,-15.653771
243,-15.359621,-15.407506,-15.647871
244,-15.367482,-15.398373,-15.648564
245,-15.361318,-15.397719,-15.651440
246,-15.357749,-15.399986,-15.659391
247,-15.347356,-15.398661,-15.660837
248,-15.351604,-15.389707,-15.656953
249,-15.359045,-15.392069,-15.655352
250,-15.357804,-15.390182,-15.649749
251,-15.363557,-15.389491,-15.656047
252,-15.364464,-15.397114,-15.655619
253,-15.362777,-15.394410,-15.657383
254,-15.354490,-15.390155,-15.647328
255,-15.353359,-15.396275,-15.649921
256,-15.357225,-15.390194,-15.656634
257,-15.358214,-15.395540,-15.657287
258,-15.361680,-15.394964,-15.650963
259,-15.361850,-15.392815,-15.652656
260,-15.365496,-15.393639,-15.657149
261,-15.366096,-15.400791,-15.651822
262,-15.358260,-15.401496,-15.651420
263,-15.362701,-15.403788,-15.650440
264,-15.352689,-15.402808,-15.647443
265,-15.352375,-15.403042,-15.646307
266,-15.356166,-15.409016,-15.654538
267,-15.364659,-15.403882,-15.649159
268,-15.368245,-15.406652,-15.653854
269,-15.364387,-15.398775,-15.649607
270,-15.359736,-15.402078,-15.651650
271,-15.354299,-15.398868,-15.651341
272,-15.357353,-15.400021,-15.645248
273,-15.356868,-15.401836,-15.640138
274,-15.361476,-15.405030,-15.640498
275,-15.357214,-15.406131,-15.642100
276,-15.357956,-15.403093,-15.647589
277,-15.351204,-15.402871,-15.647122
278,-15.358856,-15.406824,-15.650311
279,-15.358716,-15.405495,-15.643122
280,-15.349914,-15.402653,-15.636856
281,-15.348884,-15.397289,-15.636249
282,-15.355864,-15.400509,-15.636921
283,-15.359264,-15.403474,-15.641288
284,-15.359377,-15.411293,-15.636588
285,-15.368631,-15.410032,-15.645101
286,-15.375265,-15.413060,-15.645741
287,-15.365474,-15.418788,-15.653988
288,-15.368616,-15.416155,-15.649698
289,-15.372812,-15.409573,-15.645405
290,-15.376226,-15.410108,-15.642565
291,-15.376213,-15.409786,-15.642944
292,-15.375269,-15.415122,-15.650277
293,-15.376955,-15.410095,-15.649778
294,-15.377883,-15.412347,-15.651693
295,-15.375262,-15.407238,-15.651452
296,-15.378481,-15.414950,-15.647502
297,-15.380097,-15.409931,-15.644895
298,-15.382831,-15.405497,-15.638802
299,-15.384069,-15.409801,-15.633576
300,-15.388444,-15.412626,-15.635945
301,-15.386270,-15.409468,-15.635064
302,-15.393326,-15.411665,-15.633366
303,-15.388691,-15.417887,-15.632884
304,-15.394105,-15.415366,-15.636196
305,-15.391558,-15.419065,-15.638044
306,-15.392178,-15.419214,-15.637738
307,-15.392900,-15.417043,-15.637750
308,-15.387464,-15.417993,-15.647155
309,-15.383127,-15.423089,-15.644549
310,-15.381799,-15.426311,-15.650407
311,-15.381041,-15.430906,-15.647228
312,-15.375850,-15.433169,-15.652714
313,-15.384131,-15.439590,-15.641884
314,-15.383533,-15.434980,-15.636509
315,-15.391021,-15.431898,-15.629174
316,-15.391868,-15.432650,-15.637325
317,-15.390672,-15.441539,-15.635127
318,-15.395230,-15.432455,-15.641186
319,-15.395941,-15.435399,-15.638345
320,-15.395004,-15.437083,-15.635452
321,-15.394157,-15.428901,-15.632583
322,-15.397391,-15.429513,-15.636595
323,-15.392814,-15.430201,-15.638818
324,-15.388838,-15.432818,-15.637535
325,-15.393806,-15.428363,-15.635270
326,-15.389292,-15.435467,-15.636681
327,-15.387936,-15.430783,-15.629486
328,-15.384135,-15.431901,-15.627595
329,-15.382830,-15.427503,-15.625933
330,-15.385124,-15.429641,-15.624684
331,-15.384761,-15.427258,-15.627810
332,-15.384020,-15.431094,-15.627257
333,-15.392545,-15.427285,-15.625392
334,-15.386704,-15.421886,-15.628126
335,-15.387785,-15.429180,-15.625649
336,-15.388159,-15.426967,-15.620023
337,-15.390051,-15.427138,-15.623711
338,-15.394563,-15.422316,-15.626574
339,-15.402796,-15.428539,-15.625368
340,-15.401579,-15.431366,-15.623078
341,-15.399476,-15.430618,-15.628456
342,-15.408904,-15.440300,-15.627284
343,-15.404136,-15.438259,-15.618349
344,-15.405375,-15.437678,-15.615238
345,-15.403124,-15.437515,-15.611253
346,-15.404691,-15.437845,-15.617961
347,-15.410314,-15.434654,-15.614830
348,-15.408754,-15.437875,-15.620069
349,-15.409853,-15.437893,-15.618999
350,-15.405931,-15.440176,-15.622227
351,-15.406031,-15.440346,-15.621787
352,-15.404286,-15.431209,-15.626210
353,-15.405441,-15.434258,-15.623984
354,-15.401023,-15.436603,-15.623528
355,-15.404389,-15.431603,-15.624728
356,-15.405575,-15.434969,-15.623667
357,-15.406770,-15.431098,-15.625489
358,-15.410403,-15.435212,-15.628959
359,-15.416378,-15.431036,-15.628640
360,-15.409530,-15.431390,-15.626260
361,-15.411097,-15.432235,-15.631575
362,-15.409389,-15.432373,-15.629534
363,-15.408211,-15.430178,-15.628126
364,-15.417387,-15.430693,-15.633439
365,-15.412189,-15.427077,-15.633612
366,-15.410347,-15.426699,-15.637229
367,-15.417035,-15.434912,-15.626505
368,-15.413752,-15.441593,-15.625106
369,-15.412958,-15.445497,-15.621337
370,-15.417676,-15.444396,-15.619312
371,-15.415256,-15.444001,-15.617762
372,-15.417546,-15.439293,-15.621574
373,-15.416781,-15.442781,-15.619624
374,-15.422659,-15.441912,-15.626526
375,-15.424552,-15.438843,-15.623762
376,-15.433978,-15.443320,-15.622931
377,-15.431162,-15.436223,-15.621099
378,-15.437728,-15.445021,-15.614564
379,-15.433850,-15.445250,-15.620684
380,-15.433661,-15.443139,-15.631363
381,-15.430366,-15.444054,-15.627691
382,-15.423910,-15.445959,-15.628687
383,-15.420484,-15.447086,-15.621768
384,-15.421559,-15.445123,-15.617892
385,-15.417353,-15.441374,-15.622588
386,-15.413789,-15.429918,-15.619061
387,-15.419201,-15.426280,-15.620382
388,-15.420472,-15.433506,-15.618396
389,-15.417731,-15.432734,-15.615914
390,-15.422692,-15.439414,-15.616009
391,-15.420980,-15.445914,-15.613816
392,-15.424298,-15.447050,-15.614074
393,-15.429630,-15.448875,-15.619691
394,-15.432277,-15.451961,-15.621044
395,-15.425011,-15.451890,-15.622982
396,-15.430665,-15.450168,-15.625470
397,-15.435795,-15.454747,-15.628599
398,-15.431189,-15.453930,-15.621631
399,-15.432779,-15.449674,-15.623472
400,-15.428327,-15.453999,-15.623865
401,-15.433378,-15.455894,-15.617512
402,-15.431162,-15.452369,-15.616305
403,-15.428387,-15.447786,-15.621619
404,-15.426987,-15.445280,-15.620939
405,-15.430089,-15.446147,-15.616404
406,-15.432984,-15.445416,-15.619161
407,-15.434921,-15.451288,-15.620882
408,-15.429959,-15.455531,-15.617630
409,-15.422242,-15.455005,-15.621120
410,-15.422787,-15.466011,-15.610874
411,-15.430840,-15.465571,-15.611155
412,-15.434799,-15.455655,-15.612869
413,-15.423839,-15.451890,-15.619090
414,-15.419935,-15.447413,-15.614490
415,-15.418376,-15.442627,-15.612924
416,-15.412507,-15.447628,-15.613958
417,-15.415353,-15.451330,-15.617901
418,-15.422598,-15.458385,-15.618361
419,-15.425962,-15.456020,-15.614236
420,-15.439694,-15.457193,-15.618908
421,-15.436870,-15.456350,-15.619630
422,-15.434600,-15.446040,-15.610022
423,-15.429783,-15.450559,-15.605617
424,-15.429301,-15.455649,-15.609738
425,-15.434842,-15.456259,-15.602278
426,-15.433106,-15.464137,-15.611817
427,-15.428266,-15.465642,-15.617823
428,-15.427641,-15.465742,-15.616626
429,-15.429542,-15.466122,-15.612705
430,-15.426650,-15.464469,-15.604374
431,-15.428856,-15.457024,-15.606453
432,-15.427081,-15.451673,-15.601870
433,-15.429962,-15.452505,-15.605978
434,-15.424515,-15.462596,-15.612790
435,-15.427096,-15.457735,-15.611361
436,-15.419458,-15.459625,-15.612552
437,-15.430007,-15.465459,-15.608606
438,-15.426705,-15.465755,-15.606453
439,-15.419679,-15.457815,-15.603281
440,-15.423163,-15.458647,-15.615181
441,-15.431093,-15.453175,-15.616368
442,-15.430570,-15.460833,-15.622254
443,-15.438190,-15.471004,-15.609892
444,-15.435022,-15.467536,-15.614376
445,-15.435898,-15.469167,-15.617058
446,-15.439382,-15.469246,-15.619395
447,-15.441341,-15.469352,-15.619141
448,-15.437537,-15.463650,-15.625276
449,-15.433175,-15.466803,-15.625286
450,-15.436928,-15.469753,-15.624367
451,-15.429765,-15.463013,-15.623556
452,-15.433560,-15.466797,-15.634850
453,-15.433382,-15.464371,-15.629442
454,-15.431827,-15.464973,-15.624738
455,-15.430519,-15.465327,-15.620984
456,-15.430999,-15.461925,-15.609634
457,-15.431752,-15.463048,-15.608264
458,-15.431802,-15.465761,-15.600467
459,-15.429674,-15.472700,-15.600007
460,-15.431046,-15.469962,-15.603435
461,-15.432237,-15.465201,-15.604212
462,-15.432253,-15.470938,-15.605839
463,-15.430944,-15.474563,-15.608097
464,-15.431691,-15.469333,-15.617592
465,-15.437929,-15.473444,-15.619685
466,-15.437916,-15.469555,-15.616823
467,-15.439806,-15.469964,-15.620194
468,-15.440092,-15.470981,-15.613231
469,-15.443593,-15.468754,-15.618255
470,-15.451149,-15.473229,-15.616881
471,-15.451592,-15.475618,-15.619182
472,-15.442823,-15.474219,-15.621711
473,-15.444945,-15.469873,-15.617645
474,-15.446900,-15.465356,-15.612652
475,-15.445806,-15.468558,-15.618807
476,-15.443122,-15.469586,-15.610908
477,-15.445875,-15.466718,-15.610865
478,-15.454534,-15.470239,-15.611671
479,-15.452071,-15.469320,-15.610417
480,-15.443800,-15.464607,-15.601846
481,-15.449996,-15.471586,-15.605451
482,-15.448373,-15.474367,-15.603517
483,-15.454567,-15.475171,-15.605097
484,-15.458838,-15.475927,-15.605064
485,-15.457251,-15.479488,-15.605878
486,-15.458907,-15.478833,-15.608496
487,-15.461243,-15.475668,-15.608516
488,-15.460442,-15.472917,-15.609597
489,-15.457459,-15.472339,-15.614389
490,-15.453339,-15.474936,-15.614002
491,-15.457991,-15.477011,-15.613495
492,-15.455205,-15.476451,-15.617327
493,-15.456174,-15.468943,-15.621561
494,-15.449146,-15.472199,-15.622132
495,-15.454347,-15.470551,-15.616125
496,-15.452251,-15.472556,-15.613228
497,-15.456328,-15.478021,-15.615219
498,-15.454556,-15.479814,-15.617716
499,-15.451032,-15.483202,-15.611149
500,-15.453681,-15.475400,-15.608372
501,-15.456565,-15.479552,-15.600325
502,-15.454788,-15.478407,-15.599126
503,-15.454657,-15.477500,-15.599700
504,-15.462027,-15.476337,-15.596810
505,-15.465765,-15.479470,-15.600276
506,-15.455640,-15.469331,-15.596523
507,-15.457839,-15.464287,-15.598137
508,-15.455682,-15.464604,-15.596705
509,-15.454492,-15.468219,-15.603445
510,-15.458378,-15.474534,-15.605964
511,-15.458927,-15.479916,-15.605601
512,-15.463566,-15.479262,-15.601431
513,-15.465418,-15.471147,-15.610162
514,-15.456200,-15.467464,-15.611189
515,-15.464145,-15.464030,-15.607112
516,-15.464752,-15.469028,-15.612710
517,-15.466374,-15.465181,-15.607331
518,-15.459093,-15.471405,-15.602040
519,-15.455590,-15.468927,-15.596671
520,-15.457936,-15.483574,-15.597936
521,-15.461643,-15.485460,-15.600266
522,-15.459563,-15.481550,-15.596532
523,-15.460196,-15.480519,-15.598964
524,-15.462363,-15.492100,-15.600119
525,-15.459230,-15.491125,-15.603338
526,-15.458189,-15.495439,-15.596754
527,-15.462487,-15.494590,-15.592056
528,-15.455698,-15.499014,-15.597991
529,-15.453636,-15.509238,-15.603189
530,-15.457708,-15.506157,-15.598294
531,-15.454031,-15.503933,-15.592906
532,-15.457987,-15.499881,-15.600002
533,-15.463774,-15.490893,-15.594433
534,-15.464457,-15.485093,-15.597455
535,-15.462574,-15.487053,-15.593894
536,-15.462375,-15.487908,-15.591671
537,-15.456812,-15.486296,-15.595256
538,-15.466268,-15.484767,-15.589158
539,-15.466371,-15.487176,-15.589174
540,-15.466119,-15.481283,-15.591571
541,-15.467574,-15.475303,-15.594056
542,-15.469171,-15.479736,-15.590130
543,-15.477681,-15.486368,-15.595504
544,-15.486136,-15.487236,-15.600762
545,-15.480141,-15.482884,-15.605220
546,-15.473333,-15.482653,-15.612531
547,-15.470638,-15.473592,-15.613215
548,-15.468779,-15.473634,-15.613603
549,-15.466375,-15.472228,-15.604435
550,-15.475283,-15.478386,-15.609885
551,-15.467481,-15.473830,-15.609926
552,-15.468207,-15.472170,-15.598899
553,-15.462475,-15.474671,-15.591516
554,-15.471807,-15.471261,-15.584392
555,-15.472080,-15.470534,-15.580641
556,-15.466221,-15.476495,-15.578821
557,-15.466332,-15.473471,-15.573747
558,-15.471207,-15.474701,-15.580813
559,-15.466582,-15.475714,-15.581181
560,-15.463327,-15.474628,-15.589481
561,-15.460820,-15.475304,-15.587380
562,-15.462588,-15.472910,-15.592539
563,-15.463807,-15.473284,-15.590917
564,-15.461208,-15.471244,-15.587674
565,-15.459593,-15.478795,-15.591015
566,-15.463109,-15.484022,-15.592955
567,-15.460407,-15.480155,-15.592916
568,-15.462739,-15.480041,-15.594371
569,-15.464863,-15.478025,-15.593238
570,-15.467671,-15.477639,-15.586531
571,-15.460560,-15.475788,-15.595146
572,-15.456076,-15.465425,-15.594391
573,-15.458991,-15.477310,-15.598523
574,-15.470296,-15.481549,-15.595662
575,-15.464390,-15.478603,-15.601899
576,-15.471734,-15.484508,-15.607504
577,-15.478354,-15.483816,-15.611506
578,-15.482648,-15.489617,-15.608605
579,-15.478482,-15.492806,-15.599497
580,-15.476059,-15.495083,-15.606432
581,-15.472378,-15.495232,-15.601794
582,-15.476384,-15.490608,-15.601475
583,-15.478472,-15.488566,-15.602288
584,-15.476577,-15.495571,-15.597113
585,-15.476274,-15.496901,-15.595785
586,-15.472103,-15.500905,-15.599048
587,-15.461872,-15.500077,-15.600643
588,-15.467122,-15.502691,-15.604529
589,-15.470577,-15.503139,-15.606188
590,-15.464015,-15.506037,-15.602729
591,-15.460608,-15.502624,-15.601260
592,-15.458773,-15.496632,-15.597982
593,-15.459734,-15.495728,-15.597734
594,-15.455549,-15.488152,-15.600838
595,-15.452108,-15.490189,-15.590583
596,-15.452541,-15.501606,-15.594213
597,-15.450948,-15.508351,-15.592527
598,-15.456431,-15.493164,-15.591909
