Epoch,beta_max/4,beta_max,4beta_max
159,-16.836656,-16.618544,-17.103633
160,-16.832618,-16.614880,-17.086290
161,-16.828249,-16.610745,-17.070909
162,-16.824305,-16.606344,-17.055628
163,-16.820436,-16.602466,-17.040949
164,-16.816425,-16.598195,-17.025221
165,-16.812406,-16.594564,-17.012968
166,-16.808350,-16.590762,-16.998154
167,-16.804673,-16.586807,-16.983825
168,-16.800695,-16.583070,-16.969343
169,-16.797148,-16.579265,-16.956643
170,-16.793550,-16.575454,-16.945798
171,-16.789924,-16.571797,-16.932584
172,-16.785808,-16.568325,-16.917658
173,-16.782199,-16.564714,-16.904635
174,-16.778482,-16.561389,-16.891404
175,-16.774676,-16.558023,-16.880964
176,-16.770784,-16.554287,-16.867515
177,-16.766687,-16.550362,-16.855357
178,-16.762735,-16.546984,-16.843452
179,-16.759275,-16.543763,-16.830612
180,-16.755381,-16.540138,-16.820214
181,-16.751420,-16.536366,-16.809344
182,-16.748012,-16.532977,-16.797889
183,-16.744207,-16.529838,-16.787820
184,-16.740451,-16.526125,-16.777664
185,-16.736698,-16.522799,-16.768478
186,-16.732620,-16.519544,-16.756788
187,-16.728902,-16.516235,-16.746759
188,-16.725052,-16.512697,-16.738254
189,-16.721527,-16.508770,-16.727473
190,-16.717968,-16.505128,-16.717796
191,-16.714297,-16.501785,-16.708212
192,-16.710544,-16.498383,-16.698228
193,-16.706889,-16.495205,-16.687806
194,-16.703576,-16.491716,-16.677839
195,-16.699969,-16.488435,-16.670891
196,-16.696368,-16.485276,-16.661593
197,-16.692661,-16.481975,-16.652259
198,-16.689239,-16.478921,-16.644886
199,-16.685557,-16.475471,-16.637137
200,-16.682067,-16.472376,-16.629138
201,-16.678468,-16.468643,-16.621583
202,-16.674826,-16.465266,-16.613227
203,-16.671502,-16.462138,-16.604931
204,-16.667904,-16.458947,-16.598044
205,-16.664434,-16.455490,-16.590991
206,-16.661112,-16.452087,-16.582754
207,-16.658010,-16.448998,-16.575890
208,-16.654749,-16.445880,-16.568045
209,-16.651424,-16.442760,-16.560125
210,-16.647787,-16.439570,-16.553252
211,-16.644559,-16.436692,-16.545495
212,-16.641082,-16.433814,-16.538290
213,-16.637717,-16.430836,-16.531254
214,-16.634237,-16.427650,-16.524736
215,-16.630937,-16.424969,-16.518196
216,-16.627804,-16.422085,-16.509544
217,-16.624563,-16.418726,-16.502798
218,-16.621048,-16.415516,-16.496375
219,-16.618102,-16.412539,-16.491371
220,-16.614736,-16.409530,-16.486170
221,-16.611552,-16.406164,-16.479868
222,-16.608498,-16.403077,-16.474317
223,-16.605304,-16.400205,-16.467143
224,-16.602035,-16.397655,-16.460198
225,-16.598592,-16.394278,-16.454410
226,-16.595631,-16.390931,-16.448060
227,-16.592335,-16.388020,-16.441192
228,-16.589225,-16.385282,-16.435228
229,-16.585727,-16.382133,-16.430027
230,-16.582692,-16.379007,-16.424415
231,-16.579680,-16.375936,-16.418952
232,-16.576703,-16.373592,-16.412599
233,-16.573255,-16.370266,-16.407923
234,-16.570219,-16.367121,-16.401836
235,-16.567103,-16.364479,-16.395675
236,-16.563863,-16.361233,-16.389988
237,-16.560875,-16.358387,-16.385276
238,-16.557730,-16.355269,-16.379566
239,-16.554555,-16.352598,-16.373196
240,-16.551269,-16.349391,-16.367706
241,-16.547958,-16.346222,-16.362827
242,-16.544980,-16.342977,-16.357889
243,-16.541607,-16.339869,-16.352896
244,-16.538085,-16.336939,-16.347598
245,-16.535060,-16.334176,-16.342369
246,-16.532060,-16.331105,-16.337607
247,-16.529105,-16.328409,-16.333530
248,-16.525604,-16.325291,-16.328715
249,-16.522596,-16.322135,-16.323981
250,-16.519895,-16.319436,-16.319626
251,-16.516442,-16.316506,-16.314948
252,-16.513324,-16.313254,-16.310299
253,-16.510134,-16.310582,-16.305385
254,-16.507209,-16.307708,-16.301650
255,-16.504301,-16.304691,-16.297554
256,-16.501388,-16.301790,-16.293464
257,-16.498352,-16.298836,-16.289816
258,-16.495416,-16.296343,-16.286058
259,-16.492431,-16.293589,-16.281234
260,-16.489763,-16.290467,-16.276209
261,-16.486593,-16.287931,-16.271788
262,-16.483629,-16.284804,-16.267044
263,-16.480916,-16.281938,-16.263082
264,-16.478058,-16.278819,-16.258232
265,-16.475613,-16.276148,-16.254034
266,-16.472640,-16.273622,-16.250317
267,-16.469756,-16.270894,-16.245980
268,-16.466858,-16.268224,-16.242367
269,-16.464171,-16.265903,-16.239399
270,-16.461208,-16.263370,-16.234968
271,-16.458266,-16.260722,-16.231166
272,-16.455379,-16.258011,-16.226805
273,-16.452998,-16.255214,-16.223485
274,-16.450147,-16.252294,-16.219556
275,-16.447187,-16.249399,-16.216313
276,-16.444258,-16.247473,-16.211917
277,-16.441509,-16.244941,-16.207411
278,-16.438624,-16.242207,-16.203978
279,-16.435921,-16.239759,-16.201442
280,-16.433054,-16.237379,-16.197573
281,-16.430179,-16.234435,-16.193604
282,-16.427106,-16.231435,-16.190364
283,-16.424975,-16.228654,-16.187139
284,-16.422094,-16.226370,-16.184635
285,-16.418878,-16.223687,-16.181414
286,-16.415937,-16.221166,-16.178949
287,-16.413040,-16.218503,-16.176313
288,-16.410613,-16.215912,-16.173260
289,-16.407847,-16.213109,-16.170612
290,-16.405254,-16.210258,-16.167250
291,-16.402700,-16.207534,-16.164488
292,-16.400381,-16.204763,-16.161115
293,-16.397643,-16.201916,-16.158733
294,-16.395051,-16.199084,-16.154912
295,-16.392129,-16.196268,-16.152679
296,-16.389594,-16.193596,-16.149336
297,-16.386600,-16.190925,-16.145595
298,-16.383773,-16.188860,-16.142562
299,-16.381175,-16.186070,-16.140119
300,-16.378266,-16.183037,-16.137671
301,-16.375499,-16.180562,-16.134905
302,-16.372923,-16.177964,-16.132329
303,-16.370235,-16.175586,-16.129267
304,-16.367375,-16.173079,-16.127480
305,-16.364625,-16.170486,-16.124047
306,-16.362158,-16.167696,-16.121532
307,-16.359678,-16.164460,-16.118148
308,-16.357421,-16.161826,-16.114798
309,-16.354659,-16.159060,-16.112464
310,-16.352472,-16.156019,-16.109958
311,-16.349955,-16.153534,-16.106259
312,-16.347171,-16.150903,-16.103607
313,-16.344357,-16.148227,-16.100677
314,-16.341563,-16.145395,-16.098242
315,-16.339190,-16.142693,-16.097092
316,-16.336863,-16.140041,-16.094520
317,-16.334388,-16.137291,-16.091422
318,-16.331520,-16.134652,-16.089148
319,-16.328350,-16.132048,-16.086944
320,-16.325286,-16.129283,-16.084941
321,-16.322514,-16.126525,-16.081840
322,-16.319567,-16.123317,-16.078833
323,-16.317329,-16.121220,-16.076444
324,-16.314545,-16.118924,-16.074207
325,-16.311722,-16.116251,-16.071253
326,-16.309450,-16.113397,-16.068406
327,-16.306913,-16.110965,-16.065398
328,-16.304238,-16.108420,-16.061854
329,-16.301912,-16.105832,-16.059110
330,-16.299003,-16.103241,-16.056776
331,-16.296294,-16.100393,-16.054143
332,-16.293875,-16.098086,-16.051381
333,-16.291294,-16.095805,-16.048168
334,-16.288448,-16.093223,-16.045340
335,-16.285755,-16.091167,-16.042359
336,-16.283132,-16.088896,-16.039893
337,-16.280483,-16.086385,-16.037690
338,-16.278122,-16.083632,-16.035072
339,-16.275772,-16.081055,-16.033114
340,-16.273240,-16.077918,-16.030722
341,-16.270976,-16.075530,-16.027583
342,-16.268814,-16.072800,-16.026491
343,-16.266300,-16.070469,-16.024641
344,-16.263754,-16.068066,-16.022479
345,-16.261274,-16.065142,-16.020344
346,-16.258802,-16.062604,-16.017761
347,-16.256439,-16.060234,-16.015009
348,-16.253583,-16.057940,-16.012995
349,-16.251382,-16.055884,-16.011245
350,-16.248560,-16.053359,-16.008258
351,-16.246019,-16.051005,-16.005907
352,-16.243544,-16.048453,-16.003481
353,-16.241508,-16.045685,-16.001260
354,-16.239190,-16.043588,-15.999670
355,-16.237153,-16.041270,-15.997692
356,-16.234769,-16.039181,-15.995267
357,-16.232282,-16.036641,-15.993441
358,-16.229980,-16.034327,-15.991093
359,-16.227618,-16.031989,-15.989052
360,-16.224797,-16.029682,-15.987567
361,-16.222249,-16.027109,-15.984786
362,-16.219607,-16.024467,-15.981956
363,-16.217311,-16.022032,-15.979009
364,-16.214835,-16.019990,-15.978207
365,-16.212742,-16.018114,-15.975591
366,-16.210500,-16.015262,-15.973544
367,-16.208207,-16.012687,-15.971044
368,-16.205610,-16.010372,-15.968562
369,-16.203336,-16.007549,-15.966297
370,-16.200629,-16.004841,-15.964445
371,-16.198228,-16.002523,-15.962024
372,-16.196027,-16.000208,-15.960242
373,-16.193902,-15.998106,-15.957993
374,-16.191451,-15.996097,-15.956129
375,-16.188869,-15.993417,-15.954375
376,-16.186574,-15.991657,-15.951704
377,-16.184008,-15.988656,-15.949271
378,-16.181827,-15.985979,-15.947529
379,-16.179927,-15.983752,-15.944931
380,-16.177233,-15.981909,-15.943441
381,-16.175113,-15.980023,-15.941734
382,-16.172514,-15.977255,-15.939166
383,-16.170592,-15.975029,-15.936780
384,-16.168172,-15.972839,-15.934356
385,-16.165589,-15.970636,-15.932032
386,-16.163009,-15.968634,-15.930733
387,-16.160388,-15.966338,-15.928655
388,-16.158276,-15.964351,-15.926923
389,-16.156143,-15.962536,-15.925351
390,-16.153825,-15.960180,-15.923529
391,-16.151354,-15.958271,-15.921694
392,-16.148916,-15.955476,-15.919901
393,-16.147165,-15.953623,-15.917562
394,-16.144788,-15.950969,-15.915315
395,-16.142498,-15.948238,-15.912530
396,-16.140145,-15.946017,-15.911216
397,-16.137662,-15.943797,-15.909485
398,-16.135437,-15.941001,-15.907707
399,-16.132715,-15.938792,-15.905780
400,-16.131091,-15.936401,-15.904672
401,-16.128944,-15.934076,-15.902266
402,-16.126645,-15.931634,-15.900839
403,-16.124174,-15.929794,-15.899667
404,-16.121903,-15.927477,-15.898342
405,-16.119921,-15.925464,-15.898179
