Epoch,beta_max/4,beta_max,4beta_max
1,-18.462212,-19.815365,-79.020991
2,-18.456842,-19.702543,-73.498123
3,-18.451122,-19.590880,-69.057045
4,-18.445288,-19.487990,-65.322363
5,-18.438997,-19.389427,-62.211024
6,-18.432505,-19.294840,-59.385006
7,-18.425518,-19.205203,-56.866416
8,-18.418161,-19.124468,-54.519526
9,-18.410504,-19.045482,-52.397647
10,-18.402163,-18.965890,-50.485841
11,-18.393287,-18.888157,-48.663874
12,-18.384110,-18.815106,-46.984884
13,-18.374209,-18.746141,-45.433733
14,-18.364094,-18.677674,-44.045316
15,-18.353095,-18.613340,-42.718852
16,-18.341633,-18.552560,-41.498960
17,-18.329735,-18.495156,-40.263662
18,-18.317099,-18.433837,-39.152029
19,-18.303931,-18.379005,-38.120633
20,-18.290244,-18.326481,-37.167751
21,-18.275636,-18.273239,-36.220336
22,-18.260131,-18.222143,-35.403799
23,-18.243357,-18.173596,-34.580684
24,-18.225889,-18.127272,-33.812620
25,-18.208018,-18.082117,-33.089994
26,-18.189498,-18.037945,-32.387291
27,-18.169440,-17.995692,-31.742734
28,-18.148236,-17.956430,-31.129586
29,-18.126864,-17.917543,-30.533411
30,-18.104793,-17.878622,-29.990366
31,-18.081514,-17.841794,-29.470028
32,-18.056908,-17.804838,-28.939062
33,-18.033059,-17.769254,-28.454569
34,-18.008784,-17.735617,-28.001102
35,-17.983570,-17.703922,-27.556972
36,-17.957795,-17.669372,-27.128281
37,-17.931199,-17.637850,-26.737248
38,-17.904613,-17.607157,-26.377845
39,-17.877317,-17.577782,-26.011786
40,-17.852031,-17.548085,-25.666204
41,-17.826472,-17.521392,-25.334310
42,-17.799437,-17.496018,-25.014007
43,-17.772429,-17.471798,-24.710013
44,-17.745484,-17.449058,-24.421825
45,-17.720433,-17.427214,-24.148491
46,-17.693867,-17.405196,-23.888941
47,-17.668942,-17.383680,-23.635374
48,-17.644452,-17.363477,-23.384717
49,-17.619838,-17.343829,-23.148373
50,-17.597639,-17.324785,-22.922161
51,-17.573469,-17.306835,-22.706800
52,-17.551256,-17.289782,-22.495719
53,-17.527468,-17.272468,-22.303221
54,-17.505887,-17.255802,-22.123323
55,-17.485470,-17.239852,-21.942670
56,-17.466402,-17.223347,-21.765498
57,-17.446486,-17.207567,-21.598305
58,-17.428794,-17.193279,-21.432232
59,-17.409482,-17.178463,-21.281790
60,-17.394652,-17.164279,-21.128495
61,-17.378236,-17.150448,-20.981954
62,-17.363468,-17.137195,-20.841733
63,-17.348870,-17.124096,-20.713195
64,-17.333582,-17.112728,-20.586601
65,-17.320220,-17.099717,-20.459440
66,-17.306567,-17.087343,-20.336046
67,-17.294096,-17.074716,-20.214294
68,-17.282234,-17.061986,-20.105339
69,-17.270767,-17.050580,-20.000501
70,-17.259082,-17.039411,-19.895568
71,-17.248232,-17.028279,-19.797533
72,-17.239214,-17.017382,-19.696761
73,-17.228392,-17.006738,-19.597635
74,-17.219311,-16.994919,-19.500268
75,-17.210148,-16.984091,-19.415459
76,-17.201220,-16.973910,-19.329609
77,-17.193127,-16.964369,-19.247481
78,-17.185164,-16.954690,-19.173846
79,-17.176398,-16.945065,-19.091327
80,-17.169394,-16.936138,-19.016083
81,-17.160879,-16.927041,-18.946241
82,-17.153268,-16.917701,-18.870137
83,-17.145875,-16.908474,-18.798061
84,-17.138749,-16.900294,-18.731348
85,-17.132432,-16.891569,-18.665165
86,-17.126214,-16.882615,-18.599914
87,-17.119887,-16.874668,-18.536644
88,-17.113857,-16.867047,-18.472024
89,-17.108222,-16.858599,-18.410920
90,-17.102103,-16.850044,-18.353068
91,-17.096376,-16.842504,-18.297610
92,-17.090974,-16.834345,-18.242821
93,-17.085520,-16.826904,-18.189502
94,-17.079716,-16.819018,-18.139147
95,-17.073966,-16.811423,-18.086737
96,-17.068064,-16.803978,-18.038207
97,-17.062198,-16.796929,-17.991718
98,-17.056543,-16.789836,-17.944091
99,-17.050738,-16.782346,-17.899696
100,-17.045054,-16.775571,-17.854349
101,-17.039424,-16.769106,-17.810783
102,-17.033967,-16.762547,-17.770742
103,-17.028496,-16.756125,-17.728060
104,-17.023089,-16.749734,-17.693508
105,-17.017132,-16.742924,-17.658087
106,-17.011999,-16.736238,-17.618924
107,-17.006893,-16.730500,-17.582609
108,-17.001395,-16.724142,-17.547319
109,-16.996091,-16.717007,-17.511583
110,-16.990710,-16.710452,-17.479122
111,-16.985518,-16.704326,-17.443856
112,-16.980424,-16.698301,-17.413643
113,-16.974999,-16.692451,-17.381510
114,-16.969372,-16.686543,-17.349385
115,-16.963766,-16.681076,-17.319092
116,-16.957940,-16.674634,-17.289780
117,-16.952306,-16.669255,-17.261186
118,-16.946563,-16.663111,-17.229922
119,-16.941117,-16.656834,-17.201436
120,-16.935721,-16.651110,-17.173518
121,-16.930438,-16.644911,-17.147739
122,-16.925367,-16.639690,-17.121237
123,-16.920157,-16.633778,-17.096422
124,-16.915080,-16.627996,-17.072382
125,-16.909932,-16.622611,-17.048905
126,-16.904722,-16.617578,-17.023608
127,-16.899455,-16.612396,-17.000373
